어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
숲과나무어린이집,경기도,고양시,가정,12,4,"경기도 고양시 일산동구 중산로 101 101동 101호(중산동, 하늘마을주공휴먼시아1단지아파트)",031-977-0779,031-0000-0000,2,0,3,N,,2024-02-29
숲속둥지어린이집,경기도,고양시,가정,19,9,"경기도 고양시 일산서구 하이파크3로 61 412동 105호(덕이동, 하이파크시티일산파밀리에4단지)",031-913-6030,031-913-6031,3,0,4,N,,2024-02-29
숲속반디어린이집,경기도,고양시,민간,188,28,경기도 고양시 덕양구 삼송로221번길 11 (지축동),02-381-6300,02-381-6500,11,2,19,Y,,2024-02-29
숲속에어린이집,경기도,고양시,민간,25,5,"경기도 고양시 일산서구 대화1로 70 관리동 1층(대화동, 대화마을7단지아파트)",031-919-6906,031-919-6906,3,0,4,N,,2024-02-29
숲속자연어린이집,경기도,고양시,가정,19,4,"경기도 고양시 일산동구 고풍로 44-25 105동 102호 (풍동,성원아파트)",031-904-7227,031-904-7227,3,0,4,N,,2024-02-29
숲속친구어린이집,경기도,고양시,가정,20,5,"경기도 고양시 일산동구 숲속마을1로 85 502동 104호(풍동, 숲속마을현대아이파크5단지아파트)",031-818-4637,031-0000-0000,3,0,4,N,,2024-02-29
숲향기어린이집,경기도,고양시,민간,39,8,경기도 고양시 덕양구 행신로143번길 130,070-8952-7204,031-0000-0000,6,0,7,Y,,2024-02-29
스마트튼튼어린이집,경기도,고양시,가정,20,7,"경기도 고양시 덕양구 화중로 164 522동 102호(화정동,은빛마을5단지아파트)",031-967-7945,031-967-8610,3,0,4,N,,2024-02-29
시립다정어린이집,경기도,고양시,국공립,35,10,"경기도 고양시 덕양구 소원로 267 314동(행신동, 서정마을주공휴먼시아3단지아파트)",031-818-7566,031-8076-7566,4,0,7,N,,2024-02-29
고양시립마두어린이집,경기도,고양시,국공립,83,25,경기도 고양시 일산동구 일산로 271 (마두동),031-906-3566,031-906-5355,6,3,21,N,http://cafe.naver.com/littletraum,2024-02-29
고양시립문촌9사회복지관어린이집,경기도,고양시,국공립,49,13,"경기도 고양시 일산서구 주엽로 156 복지관 1층(주엽동, 문촌마을9단지아파트)",031-917-1003,031-917-1034,5,0,11,N,http://cafe.naver.com/lovessem,2024-02-29
고양시립백송어린이집,경기도,고양시,국공립,45,11,경기도 고양시 일산동구 장백로 72,031-902-0064,031-902-0068,4,0,11,N,http://cafe.naver.com/thebom0201,2024-02-29
시립신정어린이집,경기도,고양시,국공립,20,6,"경기도 고양시 덕양구 서정마을로 25 202동(행신동, 서정마을주공휴먼시아2단지아파트)",031-938-8785,031-938-8784,3,1,5,N,,2024-02-29
시립행신그린어린이집,경기도,고양시,국공립,135,28,경기도 고양시 덕양구 용현로 47 (행신동),031-978-5333,031-978-5339,9,1,32,N,,2024-02-29
식사아이슐레 어린이집,경기도,고양시,민간,54,15,경기도 고양시 일산동구 위시티1로 7 커뮤니티센터 (식사동),031-965-0089,031-965-0096,6,1,8,Y,,2024-02-29
식사키즈스쿨어린이집,경기도,고양시,가정,20,5,"경기도 고양시 일산동구 위시티4로 46 213동 101호(식사동, 위시티일산자이2단지)",031-963-2235,031-963-2261,3,0,4,N,,2024-02-29
신나는어린이집,경기도,고양시,가정,18,1,"경기도 고양시 일산서구 가좌2로 22 가좌마을6단지관리동(가좌동, 가좌마을6단지아파트)",031-994-0234,070-7500-0044,3,0,3,N,,2024-02-29
신한키즈 일산어린이집,경기도,고양시,직장,64,11,경기도 고양시 일산동구 중앙로 1311,031-906-5170,031-906-5171,4,1,18,N,,2024-02-29
썬키즈 어린이집,경기도,고양시,민간,154,21,경기도 고양시 일산서구 대산로 58 강선마을 3단지 내,031-919-8330,031-913-4918,9,1,12,Y,,2024-02-29
아기나무어린이집,경기도,고양시,가정,18,4,"경기도 고양시 덕양구 성신로 77 1802동 103호(행신동, 햇빛마을18단지아파트)",031-971-1656,031-0000-0000,4,0,4,N,,2024-02-29
아기숲어린이집,경기도,고양시,가정,20,7,"경기도 고양시 덕양구 푸른마을로 52 406동 102호(고양동, 푸른마을)",031-963-2321,0504-067-5653,4,0,4,N,,2024-02-29
아라kids어린이집,경기도,고양시,민간,57,8,경기도 고양시 일산동구 위시티4로 79 커뮤니티센터 (식사동),031-965-0016,031-965-0017,4,1,4,N,,2024-02-29
고양시립삼송어린이집,경기도,고양시,국공립,120,27,경기도 고양시 덕양구 덕수천1로 73,02-357-3200,02-357-3131,8,1,30,N,http://jaramk.com,2024-02-29
고양시립성모어린이집,경기도,고양시,국공립,56,12,경기도 고양시 일산서구 고양대로 654 일산종합사회복지관 1층,031-975-3313,031-975-3301,4,1,16,N,http://m.blog.naver.com/grapetreejoa,2024-02-29
고양시립송강어린이집,경기도,고양시,국공립,70,15,경기도 고양시 덕양구 신원2로 50 고양시립송강어린이집,02-371-3811,02-371-3810,6,1,21,N,http://www.cyworld.com/myungjischool/,2024-02-29
고양시립숲내어린이집,경기도,고양시,국공립,67,16,경기도 고양시 덕양구 향기로 25,02-3159-1353,02-3159-1354,5,1,19,N,http://www.heendol.or.kr,2024-02-29
고양시립아이솔어린이집,경기도,고양시,국공립,73,18,경기도 고양시 덕양구 원흥1로 31 1003동,031-963-9090,031-0000-0000,5,1,19,N,https://band.us/band/59445289,2024-02-29
고양시립어울림어린이집,경기도,고양시,국공립,99,18,경기도 고양시 덕양구 원흥1로 35,031-963-2020,031-963-2019,8,1,28,N,https://blog.naver.com/dokkaebi-i,2024-02-29
고양시립원흥어린이집,경기도,고양시,국공립,55,24,경기도 고양시 덕양구 삼원로 102 원흥도래울마을 1단지 내 고양시립원흥어린이집,031-968-0980,031-967-0980,5,1,12,N,https://blog.naver.com/smile0234-,2024-02-29
고양시립이음어린이집,경기도,고양시,국공립,85,13,경기도 고양시 덕양구 지정로 110,02-381-0707,02-381-0710,6,1,23,N,https://cafe.daum.net/juyeopfriend,2024-02-29
고양시립일산어린이집,경기도,고양시,국공립,72,15,경기도 고양시 일산서구 고양대로 666,031-975-1379,031-975-1380,6,1,20,N,https://cafe.naver.com/goyangyp,2024-02-29
동심어린이집,경기도,고양시,민간,137,15,"경기도 고양시 일산동구 강촌로 191 (마두동,백마마을4단지 내)",031-907-1551,031-905-5114,8,1,16,Y,,2024-02-29
둥이어린이집,경기도,고양시,가정,13,6,"경기도 고양시 덕양구 화신로 298 801동 105호(화정동, 별빛마을)",031-811-0273,031-0000-0000,3,0,4,N,,2024-02-29
딸기사랑어린이집,경기도,고양시,가정,20,4,"경기도 고양시 일산동구 하늘마을1로 23 509동 101호(중산동, 하늘마을주공휴먼시아5단지아파트)",031-818-2211,031-0000-0000,3,0,4,N,,2024-02-29
라라캐슬어린이집,경기도,고양시,가정,20,9,"경기도 고양시 덕양구 푸른마을로 16 202동 102호(고양동,푸른마을2단지)",031-969-5399,031-969-5399,4,1,5,Y,,2024-02-29
라움어린이집,경기도,고양시,가정,16,6,경기도 고양시 덕양구 오부자로 120 207동 102호,070-4300-6579,031-0000-0000,4,3,4,N,,2024-02-29
동양아트어린이집,경기도,고양시,민간,34,8,경기도 고양시 일산서구 고양대로 631 108동 104호(동양메이져아파트),031-924-8552,031-924-8553,4,0,8,Y,,2024-02-29
롯데영아 어린이집,경기도,고양시,가정,20,7,"경기도 고양시 일산서구 후곡로 10 904동 103호(일산동, 후곡마을롯데9단지아파트)",031-913-2006,031-913-2006,4,0,4,N,,2024-02-29
리틀트라움어린이집,경기도,고양시,민간,139,24,경기도 고양시 일산서구 산현로132번길 46 (일산동),031-917-1002,031-921-3696,9,3,18,Y,,2024-02-29
마루어린이집,경기도,고양시,가정,20,5,경기도 고양시 일산서구 하이파크3로 61 416동 101호,031-946-8434,031-0000-0000,3,0,3,N,,2024-02-29
맑은누리어린이집,경기도,고양시,가정,19,3,"경기도 고양시 일산동구 고풍로 44-46 202동 104호(풍동, 성원아파트)",031-906-8952,031-0000-0000,3,0,4,N,,2024-02-29
명지병원하나린어린이집,경기도,고양시,직장,151,19,경기도 고양시 덕양구 마상로57번길 87-39,070-4486-9267,031-0000-0000,10,2,16,Y,,2024-02-29
명지유아교실어린이집,경기도,고양시,가정,15,5,"경기도 고양시 일산동구 노루목로 100 205동 101호(장항동, 호수마을현대2단지아파트)",031-905-1247,031-0000-0000,3,0,4,N,,2024-02-29
EBS직장어린이집,경기도,고양시,직장,49,12,경기도 고양시 일산동구 한류월드로 281,02-526-2837,02-526-2838,4,1,24,N,,2024-02-29
IBK참!좋은어린이집,경기도,고양시,직장,65,13,경기도 고양시 일산동구 중앙로 1168,031-906-7672,031-0000-0000,4,1,20,N,,2024-02-29
고양시립대화소망어린이집,경기도,고양시,국공립,75,22,경기도 고양시 일산서구 일산로 778,031-911-7100,031-911-7110,5,1,15,N,http://cafe.naver.com/ggodung2004,2024-02-29
키즈아이파크어린이집,경기도,고양시,가정,20,6,"경기도 고양시 일산동구 중산로 60 203동 101호(중산동,일산2차현대아이파크)",031-976-4279,031-976-4279,3,0,4,N,,2024-02-29
i행복어린이집,경기도,고양시,가정,18,4,"경기도 고양시 일산동구 하늘마을로 94 (중산동,하늘마을2단지_관리동)",031-818-8664,031-8073-8664,4,0,4,Y,bandy6500.com,2024-02-29
잰둥이어린이집,경기도,고양시,가정,19,5,"경기도 고양시 일산서구 대화1로 51 304동 102호(대화동, 대화마을동문3단지아파트)",031-924-0272,031-924-0272,4,0,4,N,,2024-02-29
좋은나무어린이집,경기도,고양시,가정,17,4,"경기도 고양시 덕양구 향동1로 20 205동 102호(향동동, DMC중흥S-클래스 더 센트럴)",02-6409-5959,02-6409-5957,4,0,4,N,,2024-02-29
주따라샘어린이집,경기도,고양시,가정,20,7,경기도 고양시 일산동구 일산로380번길 59 (정발산동),031-906-6300,031-904-6301,2,0,4,N,,2024-02-29
주엽어린이집,경기도,고양시,민간,73,13,경기도 고양시 일산서구 주화로 49 강선마을 14단지내,031-912-4577,031-912-4577,4,1,5,Y,,2024-02-29
예쁜꿈어린이집,경기도,고양시,가정,20,10,"경기도 고양시 덕양구 신원3로 20 804동 102호(신원동, 신원마을고양삼송아이파크)",02-381-3288,031-0000-0000,4,0,4,N,,2024-02-29
예쁜아기어린이집,경기도,고양시,가정,11,6,"경기도 고양시 일산서구 킨텍스로 340 709동 105호(주엽동, 문촌마을주공7단지아파트)",031-911-4980,031-911-4980,2,0,3,N,,2024-02-29
예사랑어린이집,경기도,고양시,민간,80,14,경기도 고양시 덕양구 화중로138번길 27 충현빌딩 1층 (화정동),031-966-8320,031-964-0148,7,2,15,Y,,2024-02-29
예솔키즈어린이집,경기도,고양시,가정,16,2,"경기도 고양시 일산서구 고양대로255번길 45 관리동 1층(대화동, 대화마을9단지아파트)",031-911-6644,031-924-1886,3,0,4,N,,2024-02-29
예일어린이집,경기도,고양시,민간,99,14,경기도 고양시 덕양구 통일로780번길 47 (관산동),031-964-5631,031-965-5632,8,1,12,Y,,2024-02-29
예품어린이집,경기도,고양시,가정,20,6,"경기도 고양시 덕양구 호국로742번길 53 802동 101호(성사동, 어울림마을)",031-965-9127,0504-444-9127,4,0,5,N,,2024-02-29
와이시티어린이집,경기도,고양시,민간,63,17,"경기도 고양시 일산동구 강송로 33 102동 어린이집(백석동, 일산요진와이시티)",031-816-0506,031-816-0505,5,4,8,N,,2024-02-29
우리햇빛어린이집,경기도,고양시,가정,20,6,"경기도 고양시 덕양구 성신로 77 1815동 103호(행신동, 햇빛마을주공18단지아파트)",031-815-1961,031-815-1961,4,0,4,N,,2024-02-29
원흥푸르미어린이집,경기도,고양시,민간,53,16,경기도 고양시 덕양구 도래울로 16 LH원흥 도래울6단지 내,031-962-3307,031-0000-0000,6,1,8,N,,2024-02-29
위브아이어린이집,경기도,고양시,민간,50,7,경기도 고양시 덕양구 호수로 6 대곡역 두산위브 1단지 아파트 내,031-818-3818,031-0000-0000,5,2,0,N,,2024-02-29
참좋은숲어린이집,경기도,고양시,민간,152,1,경기도 고양시 덕양구 흥도로415번길 115 (화정동),031-966-1290,031-0000-0000,8,1,10,Y,,2024-02-29
창가의토토24시어린이집,경기도,고양시,가정,18,1,"경기도 고양시 일산동구 노루목로 99 507동 103호(장항동, 호수마을청구5단지아파트)",031-8076-1004,031-8076-1004,3,0,4,N,,2024-02-29
청안어린이집,경기도,고양시,민간,83,12,경기도 고양시 일산서구 산현로 28 동문1차 단지내,031-918-8902,031-817-8902,6,2,13,Y,,2024-02-29
초록별성저 어린이집,경기도,고양시,가정,20,7,경기도 고양시 일산서구 성저로42번길 4 1층,031-916-4298,031-916-4298,3,0,4,N,,2024-02-29
초록줄기어린이집,경기도,고양시,가정,15,1,"경기도 고양시 일산서구 주엽로 122 1609동 104호(주엽동, 문촌마을뉴삼익16단지아파트)",031-916-6696,031-916-6696,3,0,4,N,,2024-02-29
칭찬가득어린이집,경기도,고양시,가정,20,9,"경기도 고양시 덕양구 세솔로 25 2208동 101호(동산동, 동산마을호반베르디움22단지)",02-6497-5571,02-6497-5571,3,0,4,N,,2024-02-29
코레일고양어린이집,경기도,고양시,직장,70,10,경기도 고양시 덕양구 행주로 108-1 (행주내동),031-811-3051,031-813-3053,5,1,22,N,,2024-02-29
코코가베어린이집,경기도,고양시,가정,20,5,"경기도 고양시 일산동구 하늘마을1로 25 502동 102호(중산동, 하늘마을주공휴먼시아5단지아파트)",031-977-8891,031-0000-0000,3,0,4,N,,2024-02-29
큰숲키즈어린이집,경기도,고양시,가정,20,3,경기도 고양시 일산동구 산두로109번길 23 (정발산동),031-905-3453,031-905-3452,3,0,4,Y,,2024-02-29
키위어린이집,경기도,고양시,가정,20,5,경기도 고양시 일산서구 하이파크3로 61 하이파크시티 신동아파밀리에 413동102호,031-922-0322,031-0000-0000,3,0,4,N,,2024-02-29
키즈레일탄현역어린이집,경기도,고양시,국공립,44,9,경기도 고양시 일산서구 경의로 856 탄현역 주차장 내,031-923-2333,031-923-2337,4,1,17,N,,2024-02-29
은행마을어린이집,경기도,고양시,가정,18,6,"경기도 고양시 일산동구 은행마을로 16 101동 105호(풍동, 은행마을1단지아파트)",031-904-9706,031-0000-0000,3,1,4,N,,2024-02-29
이레하바어린이집,경기도,고양시,가정,20,7,"경기도 고양시 일산서구 가좌3로 45 201동 102호(가좌동, 가좌마을대우2단지아파트)",031-923-7995,031-0000-0000,3,0,4,N,,2024-02-29
이케아다기스(고양)어린이집,경기도,고양시,직장,75,17,경기도 고양시 덕양구 권율대로 420 이케아 1층,031-994-5800,031-0000-0000,6,1,16,N,,2024-02-29
이화키즈어린이집,경기도,고양시,가정,18,6,경기도 고양시 덕양구 삼송로139번길 7-5 (삼송동),02-381-8883,02-381-8881,4,0,4,Y,,2024-02-29
일산라온어린이집,경기도,고양시,가정,19,4,"경기도 고양시 일산동구 백석로 119 214동 101호(백석동, 백송마을2단지)",031-817-1163,031-908-1163,3,0,4,N,,2024-02-29
일산아이사랑어린이집,경기도,고양시,민간,300,19,경기도 고양시 일산서구 송산로 339 (가좌동),031-923-0020,031-922-0056,19,3,40,Y,,2024-02-29
내아이어린이집,경기도,고양시,가정,19,6,경기도 고양시 일산동구 숲속마을2로 111 1층 (풍동),031-905-3094,031-905-3094,3,0,4,N,,2024-02-29
노래하는어린이집,경기도,고양시,가정,16,3,"경기도 고양시 일산서구 탄현로 133 102동 103호(탄현동, 일산임광진흥아파트)",031-812-6843,031-812-6843,3,0,3,N,,2024-02-29
해든어린이집,경기도,고양시,민간,49,14,"경기도 고양시 덕양구 화신로 295 관리사무소2층(화정동, 별빛마을10단지 건영상가동)",031-979-0074,031-970-9359,4,2,6,Y,,2024-02-29
해맑은어린이집,경기도,고양시,가정,20,10,"경기도 고양시 일산동구 경의로 333 503동 101호(마두동, 백마마을쌍용한성5단지아파트)",031-905-7345,031-905-7345,3,0,4,N,,2024-02-29
해사랑어린이집,경기도,고양시,가정,20,6,"경기도 고양시 일산서구 강선로 167 1507동 104호(일산동, 후곡마을건영15단지아파트)",031-918-2040,031-918-2040,3,0,4,N,,2024-02-29
SK샛별 어린이집,경기도,고양시,가정,20,7,"경기도 고양시 덕양구 충장로103번길 23 102동 102호(행신동, 행신에스케이뷰1차아파트)",031-978-7762,031-0000-0000,3,0,4,N,cafe.daum.net/sang-a962-3370,2024-02-29
YWCA어린이집,경기도,고양시,가정,14,6,"경기도 고양시 일산서구 주엽로 161 804동 104호(주엽동, 문촌마을동아8단지아파트)",031-912-0061,031-0000-0000,3,0,3,N,cafe.naver.com/hsnature.cafe,2024-02-29
가온어린이집,경기도,고양시,가정,16,4,"경기도 고양시 일산서구 현중로 62 608동 102호(탄현동, 탄현마을한신6단지아파트)",031-811-8588,031-811-8588,3,0,4,Y,cafe.naver.com/orda1997,2024-02-29
가좌다솜어린이집,경기도,고양시,민간,30,7,경기도 고양시 일산서구 가좌3로 45 가좌마을2단지 관리동,031-925-7975,031-925-7974,4,0,6,N,cafe.naver.com/praisekids,2024-02-29
개구쟁이어린이집,경기도,고양시,가정,19,6,"경기도 고양시 일산동구 공릉천로 64 202동 101호(사리현동, 동문2단지아파트)",031-962-9613,031-962-9613,3,0,4,Y,chorockidz1.com/,2024-02-29
겨자씨어린이집,경기도,고양시,가정,20,3,경기도 고양시 일산동구 일산로316번길 43 (마두동),031-906-9721,031-906-9721,3,0,5,Y,club.cyworld.com/skystarkids,2024-02-29
고려어린이집,경기도,고양시,사회복지법인,88,12,경기도 고양시 일산동구 애니골길 68 (풍동),031-906-0300,031-906-0301,5,1,16,Y,club.cyworld.com/smilsan,2024-02-29
고양경찰서어린이집,경기도,고양시,직장,100,15,경기도 고양시 덕양구 화중로 12,031-972-0183,031-972-0185,11,1,39,N,ebenezer.co.kr,2024-02-29
SK사랑어린이집,경기도,고양시,민간,56,15,경기도 고양시 덕양구 행신로143번길 54-8 SK2차아파트 단지 내 (행신동),031-938-3317,031-938-3316,6,1,12,Y,cafe.daum.net/saebit-child,2024-02-29
고양시립고양어린이집,경기도,고양시,국공립,70,20,경기도 고양시 덕양구 혜음로 19-11,031-964-5542,031-964-0543,5,1,19,N,,2024-02-29
고양시립관산어린이집,경기도,고양시,국공립,45,14,경기도 고양시 덕양구 통일로742번길 28 관산동 복지회관,031-962-2155,031-962-2156,5,1,8,N,,2024-02-29
고양시립꽃구름어린이집,경기도,고양시,국공립,130,26,경기도 고양시 덕양구 오부자로 99,02-381-5788,031-0000-0000,9,1,29,N,"http//csfe.daum,net/samhwankid",2024-02-29
고양시립꽃우물어린이집,경기도,고양시,국공립,47,13,경기도 고양시 덕양구 화신로 325,031-973-8233,031-973-8733,4,0,8,N,http:// cafe.naver.com/9186966,2024-02-29
고양시립꽃향기어린이집,경기도,고양시,국공립,45,13,경기도 고양시 덕양구 향기2로 22,070-7773-0550,02-3158-0551,4,0,15,N,http://cafe.daum.net,2024-02-29
고양시립꿈모아어린이집,경기도,고양시,국공립,65,18,경기도 고양시 일산서구 킨텍스로 240 킨텍스한화꿈에그린 단지 내,031-911-0501,031-915-0501,6,2,20,N,http://cafe.daum.net/allsarang2,2024-02-29
고양시립저현어린이집,경기도,고양시,국공립,37,10,경기도 고양시 일산동구 위시티2로11번길 22-21,031-967-5665,031-967-5775,5,0,15,N,https://cafe.naver.com/ilsanyonsei,2024-02-29
고양시립중산누리어린이집,경기도,고양시,국공립,45,10,경기도 고양시 일산동구 중산로 224 중산동 주민자치센터 1층 (중산동),031-975-2127,031-975-2129,3,0,7,N,https://cafe.naver.com/mimikim6343,2024-02-29
고양시립지축어린이집,경기도,고양시,국공립,72,14,경기도 고양시 덕양구 오부자로 150 (엘에이치3단지),02-6338-3168,02-6338-3169,6,1,16,N,https://cafe.naver.com/MyCafelntro.nhn?cluvi=30442496,2024-02-29
고양시립청아어린이집,경기도,고양시,국공립,71,15,경기도 고양시 덕양구 향동1로 20,02-2135-5355,0504-080-1448,6,1,18,N,https://cafe.naver.com/skybluedhevi,2024-02-29
고양시립큰솔어린이집,경기도,고양시,국공립,120,29,경기도 고양시 덕양구 덕수천1로 37,02-371-3113,02-371-3131,8,1,31,N,https://instagram.com/wondang_nature,2024-02-29
고양시립큰숲어린이집,경기도,고양시,국공립,60,14,경기도 고양시 덕양구 오부자로 77,02-381-1015,02-381-1014,6,1,20,N,https://libedoman2.kidsnote.ac/home/main,2024-02-29
고양시립파아란하늘어린이집,경기도,고양시,국공립,27,9,경기도 고양시 일산동구 하늘마을1로 105 하늘마을3단지 관리동내 (중산동),031-975-3727,031-975-3646,3,0,6,N,https://www.comwel.or.kr/kids/goyang/intro.do,2024-02-29
