설립구분명,시설명,전화번호,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
사립,비봉고등학교,031-356-0791,경기도 화성시 비봉면 양노리 259-3번지,경기도 화성시 비봉면 양노로109번길 5,18284,37.2383493423,126.8728272701
공립,일죽고등학교,031-8046-6250,경기도 안성시 일죽면 송천리 243-1번지,경기도 안성시 일죽면 서동대로 7446,17529,37.0914715397,127.4733766840
공립,포천고등학교,031-535-1601,경기도 포천시 신읍동 345번지,경기도 포천시 원모루로 40,11148,37.8914241095,127.1923461141
사립,과천외국어고등학교,02-504-3300,경기도 과천시 중앙동 11번지,경기도 과천시 희망길 36,13805,37.4326107060,126.9880849893
공립,상록고등학교,031-364-6700,경기도 안산시 상록구 본오동 828-87번지,경기도 안산시 상록구 반석로4길 34,15546,37.2989772876,126.8746485284
공립,마송고등학교,031-987-6571,경기도 김포시 통진읍 마송리 509번지,경기도 김포시 통진읍 마송1로 155,10031,37.6872311744,126.5936583562
공립,보평고등학교,031-8017-0462,경기도 성남시 분당구 백현동 544번지,경기도 성남시 분당구 동판교로 124,13527,37.3941974382,127.1176346471
공립,광명북고등학교,02-2615-9528,경기도 광명시 철산동 59-1번지,경기도 광명시 시청로 127,14225,37.4885921870,126.8667480731
공립,곤지암고등학교,031-762-6040,경기도 광주시 곤지암읍 곤지암리 453-12번지,경기도 광주시 곤지암읍 곤지암로 82,12804,37.3485622650,127.3376394628
사립,수원고등학교,031-300-3220,경기도 수원시 팔달구 매교동 191번지,경기도 수원시 팔달구 정조로 666-10,16469,37.2681806088,127.0180621923
공립,수원정보과학고등학교,031-218-4100,경기도 수원시 영통구 원천동 78-8번지,경기도 수원시 영통구 동수원로551번길 16,16501,37.2761208903,127.0498657207
공립,수택고등학교,031-551-0673,경기도 구리시 수택동 881번지,경기도 구리시 검배로 145,11944,37.5948814488,127.1542296925
공립,한국애니메이션고등학교,031-790-9031,경기도 하남시 창우동 523-4번지,경기도 하남시 검단산로 223,13023,37.5349168817,127.2274558720
공립,함현고등학교,031-430-8226,경기도 시흥시 정왕동 1878-9번지,경기도 시흥시 역전로 463,15017,37.3662058695,126.7384715886
사립,양곡고등학교,031-981-0138,경기도 김포시 양촌읍 양곡리 286-1번지,경기도 김포시 양촌읍 양곡4로 138,10057,37.6596364518,126.6251489050
사립,양동고등학교,031-773-1032,경기도 양평군 양동면 쌍학리 218-1번지,경기도 양평군 양동면 학둔지윗길 47-7,12539,37.4206520970,127.7557084387
사립,양명고등학교,031-470-3500,경기도 안양시 만안구 안양동 64번지,경기도 안양시 만안구 경수대로1001번길 184,13959,37.4079323204,126.9218458331
사립,양명여자고등학교,031-470-3600,경기도 안양시 만안구 안양동 산21-10번지,경기도 안양시 만안구 경수대로1001번길 150,13959,37.4069964235,126.9221581071
사립,양서고등학교,031-770-1400,경기도 양평군 양서면 용담리 221-1번지,경기도 양평군 양서면 상촌길 31-12,12584,37.5480766050,127.3279473436
공립,양영디지털고등학교,031-778-2400,경기도 성남시 분당구 서현동 316번지,경기도 성남시 분당구 불정로386번길 35,13587,37.3740136726,127.1400098292
공립,양지고등학교,031-439-8301,경기도 안산시 단원구 고잔동 713번지,경기도 안산시 단원구 화정천동로 50,15474,37.3092245804,126.8220110776
공립,옥정고등학교,031-866-8371,경기도 양주시 옥정동 948번지,경기도 양주시 옥정로7길 47,11468,37.8276291662,127.0888531875
공립,미사고등학교,031-8026-8500,경기도 하남시 망월동 933번지,경기도 하남시 미사강변한강로 210,12911,37.5704999712,127.1933879193
공립,한백고등학교,031-8055-5312,경기도 화성시 영천동 696번지,경기도 화성시 동탄순환대로26길 21,18466,37.2076137647,127.1134391184
공립,이의고등학교,031-280-6500,경기도 수원시 영통구 하동 977번지,경기도 수원시 영통구 법조로 145,16512,37.2923620430,127.0711939327
공립,김포제일고등학교,031-950-6511,경기도 김포시 운양동 1300-1번지,경기도 김포시 김포한강11로 242,10073,37.6530810959,126.6773730447
공립,지산고등학교,031-930-4600,경기도 파주시 와동동 1612번지,경기도 파주시 가람로21번길 27-37,10870,37.7354850984,126.7498671176
공립,능곡고등학교,031-972-1939,경기도 고양시 덕양구 토당동 394-3번지,경기도 고양시 덕양구 지도로 76,10515,37.6239617444,126.8254973164
공립,화정고등학교,031-930-0627,경기도 고양시 덕양구 화정동 938번지,경기도 고양시 덕양구 화정로 17,10496,37.6362224243,126.8275286045
공립,화홍고등학교,031-220-3308,경기도 수원시 권선구 권선동 1302번지,경기도 수원시 권선구 세권로 331,16551,37.2516741460,127.0402460491
사립,효명고등학교,031-664-1022,경기도 평택시 장당동 470번지,경기도 평택시 송탄로 51,17784,37.0501389261,127.0550837789
사립,효성고등학교,031-723-6240,경기도 성남시 수정구 심곡동 321번지,경기도 성남시 수정구 심곡로 16,13103,37.4497240207,127.1045426801
공립,효원고등학교,031-228-1516,경기도 수원시 영통구 매탄동 1154번지,경기도 수원시 영통구 동수원로 336,16546,37.2593489925,127.0389476255
공립,흥진고등학교,031-390-4109,경기도 군포시 금정동 875-7번지,경기도 군포시 오금로 15-17,15864,37.3523803978,126.9292049100
공립,부용고등학교,031-820-8500,경기도 의정부시 민락동 757-1번지,경기도 의정부시 오목로 96,11811,37.7363397336,127.0928995353
공립,경기예술고등학교,032-328-0844,경기도 부천시 중동 1031번지,경기도 부천시 석천로209번길 37,14537,37.5060822125,126.7618196189
공립,송호고등학교,031-415-8680,경기도 안산시 상록구 이동 665번지,경기도 안산시 상록구 광덕3로 296,15490,37.3104999848,126.8452125122
공립,운천고등학교,031-371-9900,경기도 오산시 부산동 778-5번지,경기도 오산시 운천로 193,18132,37.1559140426,127.0804910337
공립,서원고등학교,031-276-7022,경기도 용인시 수지구 상현동 836번지,경기도 용인시 수지구 상현로42번길 26-7,16939,37.3024764276,127.0814837103
공립,천천고등학교,031-249-6705,경기도 수원시 장안구 천천동 513번지,경기도 수원시 장안구 정자로42번길 31,16325,37.2994100054,126.9829864506
공립,갈매고등학교,031-524-6000,경기도 구리시 갈매동 653번지,경기도 구리시 갈매순환로 75,11902,37.6273973079,127.1176557866
공립,한빛고등학교,031-946-7012,경기도 파주시 야당동 1013번지,경기도 파주시 한빛로 36,10908,37.7134798436,126.7548882249
공립,미사강변고등학교,031-8026-1400,경기도 하남시 선동 418번지,경기도 하남시 미사강변한강로 75,12901,37.5777124740,127.1837772347
공립,태전고등학교,031-5182-0700,경기도 광주시 태전동 150번지,경기도 광주시 태전동로 38,12787,37.3858782901,127.2326955125
공립,용인삼계고등학교,031-329-1000,경기도 용인시 처인구 포곡읍 삼계리 143-11번지,경기도 용인시 처인구 포곡읍 백옥대로1898번길 34-42,17029,37.2942886580,127.2410079851
공립,고림고등학교,031-525-0500,경기도 용인시 처인구 고림동 650-1번지,경기도 용인시 처인구 고림로 165,17148,37.2471868047,127.2195765958
공립,배곧고등학교,070-7014-4300,경기도 시흥시 배곧동 159번지,경기도 시흥시 배곧4로 94-10,15010,37.3740453251,126.7325193159
공립,위례고등학교,02-6966-1700,경기도 하남시 학암동 666번지,경기도 하남시 위례순환로 323,13014,37.4768027009,127.1508272863
공립,양평전자과학고등학교,031-5175-0901,경기도 양평군 양서면 국수리 330-12번지,경기도 양평군 양서면 대심상심길 13,12582,37.5100958868,127.4009371211
공립,양평고등학교,031-772-2580,경기도 양평군 양평읍 양근리 237-1번지,경기도 양평군 양평읍 양근로 260,12562,37.4854128607,127.4959732124
사립,여강고등학교,031-882-0109,경기도 여주시 북내면 신접리 200번지,경기도 여주시 북내면 여강로 337-8,12614,37.3294399296,127.6834954453
공립,세종고등학교,031-883-1120,경기도 여주시 상동 144-5번지,경기도 여주시 청심로 221,12620,37.2954911739,127.6462926202
사립,여주제일고등학교,031-882-3353,경기도 여주시 가남읍 심석리 341-4번지,경기도 여주시 가남읍 여주남로 1155-11,12661,37.2068347380,127.5545673159
공립,늘푸른고등학교,031-726-4041,경기도 성남시 분당구 정자동 6-3번지,경기도 성남시 분당구 성남대로407번길 26,13554,37.3733168247,127.1052377972
공립,충훈고등학교,031-472-5382,경기도 안양시 만안구 석수동 595-3번지,경기도 안양시 만안구 석수로 238,13971,37.4108807513,126.8932569972
공립,대부고등학교,032-886-4272,경기도 안산시 단원구 대부북동 697-6번지,경기도 안산시 단원구 대부중앙로 3,15645,37.2477593571,126.5790592929
사립,대신고등학교,031-882-8736,경기도 여주시 대신면 후포리 258-1번지,경기도 여주시 대신면 여양로 1196,12611,37.3635332357,127.6081188860
공립,대평고등학교,031-259-3804,경기도 수원시 장안구 정자동 870-4번지,경기도 수원시 장안구 천천로22번길 21,16332,37.2953490549,126.9881252831
공립,덕산고등학교,070-7094-1508,경기도 부천시 오정동 111-4번지,경기도 부천시 오정로266번길 69,14434,37.5307967424,126.7896897754
공립,덕정고등학교,031-858-6383,경기도 양주시 고암동 121-1번지,경기도 양주시 화합로 1488,11454,37.8377786501,127.0713632516
공립,도당고등학교,032-680-8514,경기도 부천시 도당동 64번지,경기도 부천시 삼작로256번길 53-3,14481,37.5188683776,126.7905949938
사립,동남고등학교,031-540-5520,경기도 포천시 소흘읍 송우리 537-1번지,경기도 포천시 소흘읍 솔모루로3번길 69,11176,37.8269539492,127.1356276737
사립,한국문화영상고등학교,031-860-7300,경기도 동두천시 생연동 산43-2번지,경기도 동두천시 평화로2452번길 32,11314,37.9060470638,127.0601496359
공립,동두천중앙고등학교,031-860-1200,경기도 동두천시 지행동 340-2번지,경기도 동두천시 평화로 2280,11363,37.8916637006,127.0581084603
공립,동안고등학교,031-387-6105,경기도 안양시 동안구 평촌동 898-3번지,경기도 안양시 동안구 부림로 71,14070,37.3903473446,126.9660950994
사립,동원고등학교,031-259-4000,경기도 수원시 장안구 이목동 산28-12번지,경기도 수원시 장안구 장안로 426-1,16208,37.3190951437,126.9827274923
공립,봉일천고등학교,031-945-0857,경기도 파주시 조리읍 봉일천리 254-2번지,경기도 파주시 조리읍 소곡로 54,10938,37.7469932001,126.8162777538
공립,교하고등학교,031-949-8003,경기도 파주시 동패동 1707번지,경기도 파주시 책향기로 180,10874,37.7226119373,126.7216861902
사립,상우고등학교,031-850-1300,경기도 의정부시 의정부동 611번지,경기도 의정부시 범골로 79,11626,37.7314383352,127.0372051189
사립,이우고등학교,031-710-6903,경기도 성남시 분당구 동원동 157-1번지,경기도 성남시 분당구 동막로 287,13547,37.3529259584,127.0914901691
사립,경기외국어고등학교,031-3610-500,경기도 의왕시 고천동 438-1번지,경기도 의왕시 고산로105번길 30,16075,37.3469439588,126.9596735365
공립,경기북과학고등학교,031-870-2706,경기도 의정부시 녹양동 305번지,경기도 의정부시 체육로135번길 32,11601,37.7594632551,127.0198878629
공립,금촌고등학교,031-946-5672,경기도 파주시 금릉동 451번지,경기도 파주시 쇠재1길 18,10934,37.7501849692,126.7786643863
사립,용인한국외국어대학교부설고등학교,031-332-0700,경기도 용인시 처인구 모현읍 왕산리 267번지,경기도 용인시 처인구 모현읍 외대로54번길 50,17035,37.3304677939,127.2566870271
공립,양주백석고등학교,031-826-6412,경기도 양주시 백석읍 오산리 554번지,경기도 양주시 백석읍 꿈나무로 205,11510,37.7917623949,126.9868551274
공립,성포고등학교,031-599-9158,경기도 안산시 상록구 성포동 594-1번지,경기도 안산시 상록구 충장로 538,15293,37.3260917885,126.8513867636
공립,수원외국어고등학교,031-258-9341,경기도 수원시 영통구 이의동 1088-23번지,경기도 수원시 영통구 창룡대로 263,16227,37.2958765508,127.0351368686
사립,청심국제고등학교,031-589-8900,경기도 가평군 설악면 송산리 산102번지,경기도 가평군 설악면 미사리로 324-213,12461,37.6870387038,127.5406264948
공립,호평고등학교,031-590-1723,경기도 남양주시 호평동 677번지,경기도 남양주시 호평로 109,12146,37.6572136924,127.2527904054
공립,영덕고등학교,031-201-9100,경기도 수원시 영통구 영통동 965-3번지,경기도 수원시 영통구 매영로 334,16699,37.2524114998,127.0685111750
사립,분당영덕여자고등학교,031-724-6000,경기도 성남시 분당구 야탑동 455번지,경기도 성남시 분당구 판교로592번길 13,13515,37.4052986984,127.1394082372
사립,영복여자고등학교,031-245-2512,경기도 수원시 팔달구 화서동 7-10번지,경기도 수원시 팔달구 장안로7번길 49-1,16434,37.2856267916,127.0016721758
공립,영북고등학교,031-532-6062,경기도 포천시 영북면 운천리 334-3번지,경기도 포천시 영북면 영북로 136,11104,38.0860668544,127.2762692226
사립,영생고등학교,031-259-9555,경기도 수원시 장안구 천천동 555번지,경기도 수원시 장안구 서부로2198번길 22,16322,37.3047526962,126.9742273072
사립,동국대학교사범대학부속영석고등학교,031-846-4560,경기도 의정부시 용현동 산33-1번지,경기도 의정부시 시민로 363,11783,37.7361237106,127.0751051002
사립,오산고등학교,031-375-2134,경기도 오산시 청학동 26번지,경기도 오산시 청학로 43,18119,37.1543079675,127.0626050821
공립,오산정보고등학교,031-370-5600,경기도 오산시 청학동 52-1번지,경기도 오산시 청학로5번길 20,18119,37.1538925444,127.0599609935
공립,위례한빛고등학교,031-8038-1954,경기도 성남시 수정구 창곡동 574번지,경기도 성남시 수정구 위례동로 86,13644,37.4672368912,127.1500462621
공립,이산고등학교,031-887-0009,경기도 화성시 오산동 999번지,경기도 화성시 동탄기흥로353번길 61,18480,37.1909212260,127.0871703959
공립,정현고등학교,031-630-5610,경기도 화성시 산척동 705번지,경기도 화성시 동탄산척로 93-10,18496,37.1735158475,127.1114050437
공립,고촌고등학교,031-8048-5100,경기도 김포시 고촌읍 태리 290-2번지,경기도 김포시 고촌읍 태리로47번길 20,10128,37.6045872163,126.7500166888
공립,새솔고등학교,031-659-8800,경기도 화성시 새솔동 157번지,경기도 화성시 큰나래3길 25,18241,37.2736356427,126.8295040146
사립,동일공업고등학교,031-653-6335,경기도 평택시 비전동 135-4번지,경기도 평택시 중앙로 315,17873,36.9923237998,127.1179814220
사립,동화고등학교,031-551-0527,경기도 남양주시 다산동 4106번지,경기도 남양주시 경춘로 434,12259,37.6074136174,127.1616379495
사립,두레자연고등학교,031-358-8183,경기도 화성시 우정읍 화산리 692-11번지,경기도 화성시 우정읍 두레길 42,18569,37.0593844208,126.7957507783
공립,상일고등학교,032-226-7400,경기도 부천시 상동 572-2번지,경기도 부천시 부흥로 13,14592,37.4981617538,126.7436724197
공립,송내고등학교,0326500440,경기도 부천시 송내동 695번지,경기도 부천시 서촌로20번길 13,14741,37.4867434609,126.7453598149
공립,구성고등학교,031-284-1380,경기도 용인시 기흥구 마북동 545-8번지,경기도 용인시 기흥구 연원로42번길 47,16917,37.2990945733,127.1155440210
공립,매탄고등학교,031-218-3024,경기도 수원시 영통구 매탄동 1247번지,경기도 수원시 영통구 매탄로126번길 11,16544,37.2625803595,127.0447359848
공립,범박고등학교,032-349-4622,경기도 부천시 범박동 113-70번지,경기도 부천시 범박로 27-1,14783,37.4677428842,126.8117727881
공립,덕계고등학교,031-858-9692,경기도 양주시 덕계동 524-1번지,경기도 양주시 평화로1489번길 34,11440,37.8242440335,127.0480684319
공립,단원고등학교,031-488-0087,경기도 안산시 단원구 고잔동 426번지,경기도 안산시 단원구 단원로 55,15334,37.3276937370,126.8251523620
공립,군서고등학교,031-363-1525,경기도 시흥시 정왕동 1808-1번지,경기도 시흥시 군서마을로 100,15054,37.3492323387,126.7425608931
공립,도농고등학교,031-522-6022,경기도 남양주시 다산동 4330-3번지,경기도 남양주시 다산순환로 1,12253,37.6113573481,127.1509242961
공립,평내고등학교,031-559-5685,경기도 남양주시 평내동 568번지,경기도 남양주시 평내로 57,12225,37.6420394552,127.2340699973
공립,신장고등학교,031-796-3761,경기도 하남시 신장동 369번지,경기도 하남시 신장동로 19,12948,37.5438344716,127.2098659789
공립,마장고등학교,031-632-2080,경기도 이천시 마장면 양촌리 54번지,경기도 이천시 마장면 마도로 23,17387,37.2580800452,127.3512762828
사립,매향여자정보고등학교,031-2590-700,경기도 수원시 팔달구 매향동 110-2번지,경기도 수원시 팔달구 수원천로 350,16254,37.2845702492,127.0186345561
공립,무원고등학교,031-930-0794,경기도 고양시 덕양구 행신동 977번지,경기도 고양시 덕양구 화신로 65,10518,37.6190939818,126.8381303820
공립,문산고등학교,031-950-9600,경기도 파주시 문산읍 당동리 149번지,경기도 파주시 문산읍 당동1로 22,10819,37.8629563873,126.7758158191
사립,문산수억고등학교,031-952-2666,경기도 파주시 파주읍 봉서리 1번지,경기도 파주시 파주읍 우계로 357,10836,37.8520318841,126.8025552210
공립,경기모바일과학고등학교,031-400-6780,경기도 안산시 상록구 팔곡일동 253번지,경기도 안산시 상록구 남산평길 35,15521,37.3056438894,126.8982900008
공립,발안바이오과학고등학교,031-352-9512,경기도 화성시 향남읍 평리 62-1번지,경기도 화성시 향남읍 발안로 71,18592,37.1329307317,126.9169983423
공립,백마고등학교,031-906-0865,경기도 고양시 일산동구 백석동 1138번지,경기도 고양시 일산동구 백석로 155,10418,37.6519891277,126.7940123948
