교육청명,교육지원청명,유치원명,설립유형,대표자명,유치원장명,설립일,개업일자,전화번호,홈페이지주소,운영시간,3세학급수,4세학급수,5세학급수,혼합학급수,특수학급수,인가총정원수,3세모집정원수,4세모집정원수,5세모집정원수,혼합모집정원수,특수학급모집정원수,3세영유아수,4세영유아수,5세영유아수,혼합영유아수,특수영유아수,공시차수,정제도로명주소,정제지번주소,정제우편번호,정제WGS84위도,정제WGS84경도
경기도교육청,수원교육지원청,대평초등학교병설유치원,공립(병설),박정기,박정기,20000108,20000108,031-269-6117,http://www.daepyong.es.kr/,09시00분~17시00분,,,,1,,22,,,,22,,,,,4,,20222,경기도 수원시 장안구 대평로 111,경기도 수원시 장안구 정자동 871-2번지,16333,37.2977490529,126.9907492431
경기도교육청,수원교육지원청,파장유치원,공립(단설),문정명,문정명,20090301,20090301,031-269-1932,http://pajang-k.goesw.kr,08시00분~18시00분,2,2,2,0,2,132,28,44,52,0,8,14,16,28,0,8,20222,경기도 수원시 장안구 경수대로1081번길 32-9,경기도 수원시 장안구 파장동 574번지,16348,37.3089602432,126.9923663408
경기도교육청,수원교육지원청,창의나라유치원,사립(사인),이기우,이수진,20030731,20030901,031-207-3211-3,http://www.crenara.co.kr,09시00분~19시00분,6,5,4,0,,300,102,104,94,0,,100,99,94,0,,20222,경기도 수원시 장안구 정자천로134번길 38,경기도 수원시 장안구 정자동 889-6번지,16319,37.2917154513,126.9920760743
경기도교육청,수원교육지원청,송림초등학교병설유치원,공립(병설),이성희,이성희,19990927,19990927,031-269-5066,,09시00분~17시00분,,,1,0,,26,,,26,0,,,,18,0,,20222,경기도 수원시 장안구 대평로51번길 65,경기도 수원시 장안구 정자동 889-1번지,16319,37.2912812957,126.9917292498
경기도교육청,수원교육지원청,천일초등학교병설유치원,공립(병설),이택숙,이택숙,19971229,19980305,031-548-5282,http://www.cheonil.es.kr/,09시00분~17시00분,,,,1,,22,,,,22,,,,,8,,20222,경기도 수원시 장안구 정자로19번길 13,경기도 수원시 장안구 천천동 570번지,16324,37.3009753038,126.9781689720
경기도교육청,수원교육지원청,남정유치원,사립(사인),권순남,권순남,19900302,19900302,031-244-7474,,09시00분~19시00분,2,3,2,0,,152,36,64,52,0,,32,58,49,0,,20222,경기도 수원시 장안구 영화로37번길 30,경기도 수원시 장안구 영화동 407-11번지,16273,37.2898049478,127.0071050247
경기도교육청,수원교육지원청,수원동신초등학교병설유치원,공립(병설),김진수,김진수,19990920,19990920,031-269-5016,http://www.suwondongsin.es.kr,09시00분~17시00분,,,,1,,22,,,,22,,,,,8,,20222,경기도 수원시 장안구 만석로68번길 46,경기도 수원시 장안구 정자동 870-3번지,16332,37.2956780298,126.9891610620
경기도교육청,수원교육지원청,다솔초등학교병설유치원,공립(병설),한병천,한병천,20130528,20130603,031-8019-7823,https://dasol-e.goesw.kr/index.do,09시00분~17시00분,,1,1,0,,48,,22,26,0,,,7,22,0,,20222,경기도 수원시 장안구 이목로 24-35,경기도 수원시 장안구 정자동 946번지,16336,37.3086339909,126.9877756890
경기도교육청,수원교육지원청,수도유치원,사립(사인),김용헌,윤옥자,19820524,19820524,031-242-6967,http://sudokids.moapp.kr,09시30분~18시00분,2,2,2,0,,176,30,40,50,0,,13,29,36,0,,20212,,경기도 수원시 장안구 장안로 278,16337,,
경기도교육청,수원교육지원청,명인초등학교병설유치원,공립(병설),김미덕,김미덕,20000301,20000301,031-269-5031,,09시00분~17시00분,,,1,0,,26,,,26,0,,,,6,0,,20222,경기도 수원시 장안구 대평로52번길 21,경기도 수원시 장안구 정자동 884-7번지,16316,37.2942512899,126.9948683641
경기도교육청,수원교육지원청,성민유치원,사립(사인),박은식,신지은,20041109,20041109,031-255-1805,http://www.sungmin-i.com,09시00분~17시00분,,4,3,5,,318,,88,78,100,,,88,78,100,,20222,경기도 수원시 장안구 하률로 23,경기도 수원시 장안구 천천동 550-9번지,16322,37.3030561857,126.9758301329
경기도교육청,수원교육지원청,효천초등학교병설유치원,공립(병설),이계자,이계자,20010901,20011005,031-269-0978,,09시00분~16시40분,,,1,0,,26,,,26,0,,,,8,0,,20222,경기도 수원시 장안구 천천로21번길 11,경기도 수원시 장안구 정자동 923번지,16330,37.2934055085,126.9868409809
경기도교육청,수원교육지원청,큰별유치원,사립(사인),신문선 ,최은순,20000306,20000306,031-255-1572,http://www.bigstarkids.co.kr,09시00분~18시30분,2,2,2,0,,134,36,44,52,0,,33,44,52,0,,20222,경기도 수원시 장안구 금당로38번길 52,경기도 수원시 장안구 조원동 733-2번지,16282,37.3014413787,127.0157174407
경기도교육청,수원교육지원청,송정초등학교병설유치원,공립(병설),원정화,원정화,19850901,19850901,031-258-5943,http://sw-songjeong.es.kr,09시00분~17시00분,,,1,1,,42,,,26,16,,,,9,6,,20222,경기도 수원시 장안구 송정로 41,경기도 수원시 장안구 송죽동 404번지,16306,37.2970746417,127.0017207761
경기도교육청,수원교육지원청,삼성유치원,사립(사인),유재경,유재범,19990310,19990310,031-297-5665,http://www.sw-samsung.net,09시00분~16시30분,3,2,2,0,,180,48,44,52,0,,42,42,34,0,,20222,경기도 수원시 장안구 서부로 2095-1,경기도 수원시 장안구 율전동 419번지,16363,37.2960414905,126.9693348205
경기도교육청,수원교육지원청,새동신유치원,사립(사인),박숙현,박숙현,19920213,19920213,031-256-6891,https://saedongsin.moddo.at,09시00분~18시30분,2,3,2,0,,154,36,66,52,0,,32,50,45,0,,20222,,경기도 수원시 장안구 정자동 313-1번지 동신아파트,16339,37.3021793740,126.9939013661
경기도교육청,수원교육지원청,한일초등학교병설유치원,공립(병설),임옥례,임옥례,19990115,19990911,031-258-6194,https://hanil-e.goesw.k,09시00분~17시00분,1,1,1,0,,62,14,22,26,0,,7,7,14,0,,20222,경기도 수원시 장안구 수일로 150,경기도 수원시 장안구 조원동 882번지,16294,37.3071062895,127.0058298189
경기도교육청,수원교육지원청,꾸러기숲유치원,사립(사인),이행숙,이행숙,20100302,20100302,031-271-4599,http://www.kkurugikid.kr,09시00분~19시00분,3,3,3,0,,191,54,66,77,0,,54,66,71,0,,20222,경기도 수원시 장안구 파장천로59번길 12,경기도 수원시 장안구 파장동 291번지,16205,37.3107561115,126.9970826611
경기도교육청,수원교육지원청,연세유치원,사립(사인),김순애,권수연,19910209,19910209,031-247-1107,,09시30분~19시00분,,1,1,0,,70,,15,18,0,,,7,3,0,,20202,,경기도 수원시 장안구 조원동 510번지 벽산아파트,16279,37.2977511589,127.0214954402
경기도교육청,수원교육지원청,정천초등학교병설유치원,공립(병설),이재영,이재영,20030305,20030305,031-294-4265,https://jungchun-e.goesw.kr/index.do,09시00분~17시00분,,,1,0,,26,,,26,0,,,,24,0,,20222,경기도 수원시 장안구 화산로 83,경기도 수원시 장안구 천천동 335번지,16420,37.2912424411,126.9827602953
경기도교육청,수원교육지원청,수일초등학교병설유치원,공립(병설),이현숙,이현숙,20040302,20040302,031-242-5966,http://www.suil.ac.kr,09시00분~17시00분,,,,1,,22,,,,22,,,,,9,,20222,경기도 수원시 장안구 수일로 85,경기도 수원시 장안구 파장동 411번지,16202,37.3108169469,127.0008062935
경기도교육청,수원교육지원청,대연유치원,사립(사인),윤명섭,윤명섭,19950302,19950302,031-269-9740,http://deyen.kidsnote.ac,09시00분~19시00분,,3,3,0,,220,,72,78,0,,,55,64,0,,20222,경기도 수원시 장안구 덕영대로439번길 1,경기도 수원시 장안구 율전동 204-1번지,16357,37.3011858538,126.9707768171
경기도교육청,수원교육지원청,수성초등학교병설유치원,공립(병설),송왕룡,송왕룡,20020213,20020213,031-268-6314,"http://www.sooseong.es,kr",09시00분~17시00분,,1,1,0,,48,,22,26,0,,,6,6,0,,20222,경기도 수원시 장안구 금당로 19,경기도 수원시 장안구 조원동 843번지,16283,37.3056006425,127.0144607916
경기도교육청,파주교육지원청,드림유치원,사립(사인),이봉의,이은정,20130206,20130308,0319465611,http://www.pajudream.co.kr/,08시00분~19시00분,5,5,5,0,,373,100,130,140,0,,93,122,122,0,,20202,경기도 파주시 해솔로 80,경기도 파주시 목동동 658번지,10893,37.7279710688,126.7460846570
경기도교육청,파주교육지원청,동패초등학교병설유치원,공립(병설),김병욱,김병욱,20030311,20030311,031-934-6070,,09시00분~18시00분,1,1,1,0,,64,16,22,26,0,,16,21,25,0,,20212,경기도 파주시 한울로 21,경기도 파주시 동패동 1782번지,10903,37.7123492129,126.7345685109
경기도교육청,파주교육지원청,학이유치원,사립(사인),이영만,이영만,19910301,19910301,031-954-1114,,07시50분~19시30분,1,2,2,0,,170,14,44,52,0,,8,32,26,0,,20222,경기도 파주시 문산읍 사임당로 30,경기도 파주시 문산읍 선유리 735-5번지,10813,37.8598349181,126.7976389058
경기도교육청,파주교육지원청,연풍초등학교병설유치원,공립(병설),이성로,이성로,19631108,19631108,031-952-0667,http://www.yeonpung.es.kr,09시00분~17시00분,,,,1,,20,,,,20,,,,,7,,20222,경기도 파주시 파주읍 연풍초교길 25,경기도 파주시 파주읍 연풍리 427번지,10834,37.8310473117,126.8348664701
경기도교육청,파주교육지원청,한가람유치원,공립(단설),김정숙,김정숙,20120301,20120301,031-8071-5284,www.han.kg.kr,08시00분~19시00분,2,2,2,0,1,124,28,42,50,0,4,23,39,49,0,4,20222,경기도 파주시 금바위로 87,경기도 파주시 와동동 1318번지,10895,37.7320543216,126.7560639426
경기도교육청,파주교육지원청,예성유치원,사립(사인),이미진,이미진,20120209,20120209,031-946-3373,http://www.yehseong.kg.kr/,08시00분~18시00분,2,2,2,0,,111,34,39,38,0,,34,39,38,0,,20222,,경기도 파주시 와동동 1308번지 가람마을1단지벽산한라아파트,10895,37.7329113188,126.7533317067
경기도교육청,파주교육지원청,교하초등학교병설유치원,공립(병설),배영주,배영주,19850207,19850307,031-943-8812,http://www.gyoha.es.kr,09시00분~17시00분,,,,1,,20,,,,20,,,,,6,,20222,경기도 파주시 동편길 13,경기도 파주시 교하동 337번지,10867,37.7537277360,126.7470607109
경기도교육청,파주교육지원청,군내초등학교병설유치원,공립(병설),공정희,공정희,19850301,19850301,031-952-4377,http://www.kunne.es.kr,09시00분~17시00분,,,,1,,20,,,,20,,,,,7,,20222,경기도 파주시 군내면 통일촌길 226,경기도 파주시 군내면 백연리 480-122번지,10800,37.9056825510,126.7311368470
경기도교육청,파주교육지원청,탄현초등학교병설유치원,공립(병설),서몽룡,서몽룡,19710301,19810310,031-942-7943,http://www.th.es.kr,08시30분~16시30분,,,,1,,20,,,,20,,,,,7,,20222,경기도 파주시 탄현면 방촌로653번길 4,경기도 파주시 탄현면 축현리 489-1번지,10858,37.8032774785,126.7174098892
경기도교육청,파주교육지원청,통일초등학교병설유치원,공립(병설),최용상,최용상,20010301,20010301,031-945-1964,http://www.tongil.es.kr/wah/kindergarten/index.htm,09시00분~17시00분,1,1,1,0,,63,15,22,26,0,,7,15,23,0,,20222,경기도 파주시 탄현면 사슴벌레로 14,경기도 파주시 탄현면 법흥리 1719번지,10861,37.7748753520,126.7036405774
경기도교육청,파주교육지원청,문발유치원,공립(단설),유은희,유은희,20060301,20060301,031-949-9466,http://munbal.kg.kr,08시00분~19시00분,1,2,2,0,1,112,14,44,52,0,2,14,26,38,0,2,20222,경기도 파주시 노을빛로 21,경기도 파주시 문발동 555번지,10879,37.7259160636,126.7062644119
경기도교육청,파주교육지원청,새금초등학교병설유치원,공립(병설),도경순,도경순,20060301,20060301,031-8071-9571,http://www.saegeum.es.kr,08시30분~17시30분,1,1,1,0,,64,16,22,26,0,,14,20,18,0,,20222,경기도 파주시 후곡로 104,경기도 파주시 금촌동 1018번지,10916,37.7481311449,126.7729861582
경기도교육청,파주교육지원청,뽀뽀뽀유치원,사립(사인),이정근,이정근,19880226,19880226,031-954-1900,https://blog.naver.com/bbo9541900,08시30분~18시00분,5,5,4,0,,240,71,87,82,0,,69,85,81,0,,20222,경기도 파주시 파주읍 충현로 42-6,경기도 파주시 파주읍 봉서리 394번지,10836,37.8490378461,126.7931947835
경기도교육청,파주교육지원청,검산초등학교병설유치원,공립(병설),문종석,문종석,19990901,19990901,031-941-3175,http://www.pjgs.es.kr/wah/kindergarten/index.htm,08시30분~17시00분,,,,1,,22,,,,22,,,,,19,,20222,경기도 파주시 검산로 10,경기도 파주시 검산동 548-2번지,10848,37.7764136106,126.7386435558
경기도교육청,파주교육지원청,봉일천초등학교병설유치원,공립(병설),임철빈,임철빈,19860301,19860301,031-941-4015,http://www.bic.es.kr,09시00분~17시00분,,,,1,,22,,,,22,,,,,14,,20222,경기도 파주시 조리읍 통일로 333,경기도 파주시 조리읍 봉일천리 191-6번지,10937,37.7449851028,126.8073293585
경기도교육청,파주교육지원청,천현초등학교병설유치원,공립(병설),손은경,손은경,19801227,19801227,031-958-7957,http://www.chunhyun.es.kr,09시00분~19시00분,,,,1,,20,,,,20,,,,,10,,20222,경기도 파주시 법원읍 사임당로 875,경기도 파주시 법원읍 법원리 440-1번지,10826,37.8497708233,126.8784026514
경기도교육청,파주교육지원청,파주대원초등학교병설유치원,공립(병설),정매화,정매화,20010305,20010305,031-948-7027,,09시00분~17시00분,,,,1,,22,,,,22,,,,,22,,20222,경기도 파주시 조리읍 대원로 30,경기도 파주시 조리읍 대원리 203번지,10943,37.7276587132,126.8191676828
경기도교육청,파주교육지원청,파주와동초등학교병설유치원,공립(병설),정옥채,정옥채,20020305,20020305,031-946-3265,,09시00분~17시00분,,1,1,0,1,48,,20,24,0,4,,18,24,0,3,20222,경기도 파주시 금바위로 17,경기도 파주시 와동동 1348-1번지,10894,37.7264887144,126.7567777817
경기도교육청,파주교육지원청,파평초등학교병설유치원,공립(병설),한상현,한상현,19850308,19850308,031-953-7424,http://www.papyong.es.kr,08시30분~17시00분,,,,1,,20,,,,20,,,,,7,,20222,경기도 파주시 파평면 파평산로478번길 37,경기도 파주시 파평면 두포리 260번지,10809,37.9036104992,126.8380471744
경기도교육청,파주교육지원청,새아란유치원,사립(사인),김명숙,김명숙,20010526,20010526,031-947-5100,http://www.newaran.com,08시10분~18시00분,3,3,3,0,,198,54,66,78,0,,54,66,78,0,,20222,,경기도 파주시 목동동 2-117번지 해솔마을2단지월드메르디앙,10893,37.7259034956,126.7455268939
경기도교육청,파주교육지원청,새빛유치원,사립(사인),박충남,박충남,20090824,20090824,031-958-1458,http://club.cyworld.com/9581458,09시00분~18시00분,,1,1,0,,40,,20,20,0,,,7,11,0,,20212,경기도 파주시 법원읍 사임당로857번길 29,경기도 파주시 법원읍 대능리 90-2번지,10826,37.8501894186,126.8757507155
경기도교육청,파주교육지원청,심학초등학교병설유치원,공립(병설),정말숙,정말숙,19820301,19820301,031-957-1905,,09시00분~17시00분,,,,1,,22,,,,22,,,,,11,,20222,경기도 파주시 교하로681번길 33,경기도 파주시 동패동 1079번지,10883,37.7080501868,126.7033125065
경기도교육청,파주교육지원청,한빛초등학교병설유치원,공립(병설),이상훈,이상훈,20100301,20100301,031-950-3180,http://www.hanbit.es.kr,08시30분~19시00분,1,2,2,0,,112,16,44,52,0,,8,34,47,0,,20222,경기도 파주시 미래로408번길 77,경기도 파주시 야당동 983번지,10907,37.7148243755,126.7508696828
경기도교육청,파주교육지원청,한예술유치원,사립(사인),최영종,안인환,20130401,20130401,031-952-3911,http://tp555.thechakan.kr,08시00분~19시00분,2,2,1,0,,138,32,44,26,0,,26,29,23,0,,20222,경기도 파주시 문산읍 휴암로635번길 7,경기도 파주시 문산읍 내포리 221-2번지,10841,37.8461686457,126.7778326806
경기도교육청,파주교육지원청,지산초등학교병설유치원,공립(병설),김순향,김순향,19810301,19810301,031-942-6744,,08시30분~17시00분,1,1,1,0,,62,14,22,26,0,,11,16,26,0,,20222,경기도 파주시 경의로 1274,경기도 파주시 와동동 1339-5번지,10895,37.7309258803,126.7615110625
경기도교육청,파주교육지원청,파양초등학교병설유치원,공립(병설),조순희,조순희,19830301,19830301,031-954-2494,,09시00분~17시00분,,,,1,,20,,,,20,,,,,7,,20222,경기도 파주시 문산읍 배머리길 90-70,경기도 파주시 문산읍 이천리 249-1번지,10810,37.8614675723,126.8367190449
경기도교육청,파주교육지원청,홍익늘푸른유치원,사립(사인),박승철,정미현,20121127,20121128,031-945-2934,,08시00분~19시00분,1,1,2,0,,78,16,20,40,0,,9,15,30,0,,20222,경기도 파주시 동산3길 5,경기도 파주시 금촌동 934-4번지,10927,37.7592884599,126.7699252887
경기도교육청,파주교육지원청,금화초등학교병설유치원,공립(병설),박윤주,박윤주,20041202,20041202,031-957-9916,http://www.pjgeumhwa.es.kr,09시00분~18시00분,1,1,1,0,1,68,16,22,26,0,4,5,13,17,0,4,20222,경기도 파주시 새꽃로 55,경기도 파주시 금촌동 974번지,10914,37.7550295397,126.7677080999
경기도교육청,파주교육지원청,운정초등학교병설유치원,공립(병설),윤광헌,윤광헌,20121015,20130308,031-8071-9470,http://www.unjeong.es.kr/,09시00분~17시00분,1,1,2,0,,88,14,22,52,0,,13,20,35,0,,20222,경기도 파주시 와석순환로 35-34,경기도 파주시 야당동 1027번지,10906,37.7078767906,126.7539573332
경기도교육청,파주교육지원청,파주발트유치원,사립(사인),박연옥,박연옥,20140206,20140301,031-945-5275,,09시00분~18시00분,3,4,5,0,,119,24,47,48,0,,20,46,38,0,,20212,경기도 파주시 돌곶이길 163-1,경기도 파주시 서패동 246-7번지,10883,37.7119209825,126.6933211940
경기도교육청,파주교육지원청,수정유치원,사립(사인),최수일,문정숙,20000302,20000302,031-943-3939,http://cafe.naver.com/soojung3939,07시40분~19시00분,2,2,3,0,,249,32,44,72,0,,23,40,56,0,,20222,경기도 파주시 조리읍 대원로 215,경기도 파주시 조리읍 대원리 637-5번지,10942,37.7357083555,126.8023654729
경기도교육청,파주교육지원청,용미초등학교병설유치원,공립(병설),지옥분,지옥분,19850301,19850301,031-943-9640,,08시30분~17시00분,,,,1,,20,,,,20,,,,,8,,20222,경기도 파주시 광탄면 장지산로 78,경기도 파주시 광탄면 용미리 72-1번지,10955,37.7434582817,126.8881120055
경기도교육청,파주교육지원청,갈현초등학교병설유치원,공립(병설),김성훈,김성훈,19990901,19990901,031-945-9022,,08시30분~17시00분,,,,1,,20,,,,20,,,,,12,,20222,경기도 파주시 탄현면 평화로591번길 76,경기도 파주시 탄현면 갈현리 653-1번지,10860,37.7720705735,126.7168305766
경기도교육청,파주교육지원청,능안초등학교병설유치원,공립(병설),김복선,김복선,20000108,20000108,031-948-0891,http://www.neungan.es.kr/,09시00분~17시00분,,,,1,,20,,,,20,,,,,9,,20222,경기도 파주시 조리읍 능안로 145,경기도 파주시 조리읍 능안리 53-6번지,10935,37.7403458973,126.7925838645
경기도교육청,파주교육지원청,마지초등학교병설유치원,공립(병설),곽규종,곽규종,19810301,19810310,031-959-7320,http://www.maji.es.kr/wah/main/html/view.htm?menuCode=644,08시30분~17시00분,,,,1,,20,,,,20,,,,,8,,20222,경기도 파주시 적성면 칠중1길 39,경기도 파주시 적성면 마지리 60-4번지,10803,37.9520892661,126.9197243076
경기도교육청,파주교육지원청,문산중앙유치원,사립(사인),유춘분,유춘분,19820330,19820330,031-953-2323,,09시00분~18시30분,1,2,1,1,,200,9,27,27,7,,9,27,27,7,,20222,경기도 파주시 문산읍 장승배기로 54-22,경기도 파주시 문산읍 선유리 297-10번지,10811,37.8725541862,126.8086380338
경기도교육청,파주교육지원청,프라임유치원,사립(사인),"윤수진, 김민호",송영희,20120227,20120301,031-957-0068,,08시00분~18시30분,1,1,1,0,,66,18,22,26,0,,16,23,25,0,,20222,,경기도 파주시 와동동 1356번지 가람마을10단지동양엔파트월드메르디앙,10894,37.7268178663,126.7546638277
경기도교육청,파주교육지원청,석곶초등학교병설유치원,공립(병설),강정수,강정수,20060301,20060301,031-949-8319,,09시00분~17시00분,,1,1,0,,48,,22,26,0,,,12,26,0,,20222,경기도 파주시 책향기로 451,경기도 파주시 동패동 1700번지,10874,37.7250917953,126.7218758392
경기도교육청,파주교육지원청,소화유치원,사립(법인),이기헌,지현경,19660401,19660401,031-958-2789,http://www.sowha.net,09시00분~18시00분,1,,,1,,110,16,,,24,,8,,,2,,20202,경기도 파주시 법원읍 사임당로 872-1,경기도 파주시 법원읍 법원리 443-5번지,10826,37.8482171745,126.8777564482
경기도교육청,파주교육지원청,용연초등학교병설유치원,공립(병설),김동철,김동철,19810310,19810310,070-4906-7461,http://www.yongyeon.es.kr,08시30분~17시00분,,,,1,,20,,,,20,,,,,5,,20222,경기도 파주시 파평면 청송로402번길 31,경기도 파주시 파평면 눌노리 186번지,10801,37.9289456474,126.8575507740
경기도교육청,파주교육지원청,교하슬기유치원,사립(사인),이현재,김보형,20070301,20070301,031-946-3193,,09시00분~18시00분,2,3,2,1,,200,36,66,52,20,,36,66,52,20,,20222,경기도 파주시 책향기로 197,경기도 파주시 동패동 1710번지,10874,37.7215374399,126.7200294496
경기도교육청,파주교육지원청,금촌유치원,공립(단설),윤현주,윤현주,20130913,20130901,031-945-4392,http://www.kumchonpreschool.kg.kr,09시00분~18시30분,1,2,2,0,2,114,18,44,52,0,8,18,26,30,0,7,20222,경기도 파주시 동산3길 38-11,경기도 파주시 금촌동 929-1번지,10927,37.7621016363,126.7701019924
경기도교육청,파주교육지원청,동화나라유치원,사립(사인),류진순,김덕희,20070302,20070302,031-948-8889,http://www.donghwakids.com,09시00분~18시00분,3,3,2,0,,160,54,64,42,0,,52,63,42,0,,20222,경기도 파주시 소라지로 243,경기도 파주시 송촌동 578-65번지,10863,37.7447014050,126.6919780417
경기도교육청,파주교육지원청,마정초등학교병설유치원,공립(병설),장이환,장이환,19810309,19810309,031-953-4085,https://www.majeong.es.kr,08시30분~16시30분,,,,1,,20,,,,20,,,,,6,,20222,경기도 파주시 문산읍 마정로124번길 13,경기도 파주시 문산읍 마정리 540번지,10808,37.8922587327,126.7600956773
경기도교육청,파주교육지원청,청석초등학교병설유치원,공립(병설),최길숙,최길숙,19850302,19850302,031-943-9312,http://www.cheongseok.es.kr,09시00분~17시00분,,1,1,0,,48,,22,26,0,,,10,25,0,,20222,경기도 파주시 청석로 330,경기도 파주시 다율동 983번지,10875,37.7308178187,126.7195576212
경기도교육청,파주교육지원청,금릉초등학교병설유치원,공립(병설),채복식,채복식,20050305,20050305,031-8071-9070,,08시30분~17시00분,1,1,1,0,,62,14,22,26,0,,12,7,26,0,,20222,경기도 파주시 후곡로 56,경기도 파주시 금촌동 994번지,10920,37.7524753369,126.7729663560
경기도교육청,의정부교육지원청,의순초등학교병설유치원,공립(병설),김성수,김성수,20030301,20030301,031-852-8910,http://www.kus.es.kr,09시00분~19시00분,,,1,1,,42,,,26,16,,,,17,10,,20222,경기도 의정부시 부용로 77,경기도 의정부시 금오동 469-3번지,11752,37.7510796870,127.0660405373
경기도교육청,의정부교육지원청,고산초등학교병설유치원,공립(병설),양정모,양정모,19820507,19820507,031-841-4830,,09시00분~17시00분,,,,1,,20,,,,20,,,,,9,,20202,경기도 의정부시 고산로 121,경기도 의정부시 고산동 464번지,11801,37.7316868209,127.1055446254
경기도교육청,의정부교육지원청,발곡초등학교병설유치원,공립(병설),장영심,장영심,19980301,19980301,031-878-4582,,09시00분~17시00분,,,,1,,22,,,,22,,,,,6,,20222,경기도 의정부시 동일로454번길 74,경기도 의정부시 신곡동 727-3번지,11739,37.7283913517,127.0630522503
경기도교육청,의정부교육지원청,성모유치원,사립(법인),김충연,김충연,19540830,19550310,031-872-0553,http://cafe.naver.com/sungmo1954,08시00분~19시00분,2,2,2,0,,200,36,44,52,0,,16,28,44,0,,20222,경기도 의정부시 신흥로265번길 27,경기도 의정부시 의정부동 429-6번지,11674,37.7397380602,127.0414436694
경기도교육청,의정부교육지원청,성심유치원,사립(사인),김성구,안남이,19940305,19940305,031-841-1527,http://www.newsungshim.com,09시00분~19시00분,1,2,1,1,,150,18,44,26,22,,18,40,22,19,,20222,경기도 의정부시 능곡로 65,경기도 의정부시 신곡동 685번지,11741,37.7434192043,127.0613748710
