관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
41113-00035,세류문화공원,문화공원,,경기도 수원시 권선구 세류동 283-1,37.25830559,127.0071658,7102,,,,,버드내도서관,,경기도 경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00036,달누리,수변공원,,경기도 수원시 권선구 입북동 817,37.30049017,126.951202,4331.8,,,,,,,경기도 경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00037,7호수변공원,수변공원,,경기도 수원시 권선구 평동 185,37.25907052,126.9914515,2991.3,,,,,,,경기도 경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00038,물새공원,수변공원,,경기도 수원시 권선구 금곡동 1075,37.27558977,126.9440925,32119.5,,저류지1,,,,,경기도 경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00039,두레뜰공원,수변공원,,경기도 수원시 권선구 금곡동 1092,37.27252262,126.9436982,53938.8,,저류지1+텃밭,,,,,경기도 경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00040,두물맞이공원,수변공원,,경기도 수원시 권선구 금곡동 1097,37.27087887,126.9407973,31022.7,배드민턴장1,,,,,,경기도 경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00041,실개울공원,수변공원,,경기도 수원시 권선구 금곡동 1095-2,37.27198689,126.9467985,11291.5,,,,,,,경기도 경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00042,물빛찬공원,수변공원,,경기도 수원시 권선구 금곡동 1120,37.27270944,126.9512045,20806.3,,,화장실1,,,,경기도 경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00043,어울림공원,수변공원,,경기도 수원시 권선구 금곡동 1126,37.27328764,126.9569416,34833.8,배드민턴장1,저류지1,화장실1,,,,경기도 경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00044,물향기공원,수변공원,,경기도 수원시 권선구 호매실동 1384,37.26334249,126.9543911,150447.3,풋살장2+다목적구장2,저류지3+텃밭,화장실1,,음수대1,,경기도 경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00045,물다미공원,수변공원,,경기도 수원시 권선구 호매실동1422,37.25920994,126.951423,9038,,,,,,,경기도 경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00046,5호수변공원,수변공원,,경기도 수원시 권선구 서둔동 27-23,37.26217547,126.9902433,1546.6,,,,,,,경기도 경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41113-00047,6호수변공원,수변공원,,경기도 수원시 권선구 서둔동 26-52,37.26240083,126.9915369,3569.2,,,,,,,경기도 경기도 수원시 권선구 녹지공원과,031-228-6195,2023-06-20
41115-00001,팔달공원(장안공원+팔달공원+화서공원),근린공원,,경기도 수원시 팔달구 고등동 42-140,37.27823573,127.0101051,543863,,,,,,,경기도 수원시 화성사업소 문화유산시설과,031-228-4473,2023-06-20
41115-00002,예술/효원공원,근린공원,경기도 수원시 팔달구 동수원로335,경기도 수원시 팔달구 인계동 1128,37.25939225,127.0364507,225826.3,,수경시설(바닥분수),화장실5,,월화원,,경기도 수원시 팔달구 녹지공원과,031-228-7043,2023-06-20
41115-00003,황새말공원,근린공원,경기도 수원시 팔달구 일월로22번길 23,경기도 수원시 팔달구 화서동 714,37.286279,126.9811454,10242.3,,생태놀이터,,,광장,,경기도 수원시 팔달구 녹지공원과,031-228-7043,2023-06-20
41115-00004,서호꽃뫼공원,근린공원,경기도 수원시 팔달구 수성로 120,경기도 수원시 팔달구 화서동 410-6,37.28420801,126.9867613,56450.2,농구장2+배드민턴장1,포시즌가든+텃밭,화장실1,,,,경기도 수원시 팔달구 녹지공원과,031-228-7043,2023-06-20
41115-00005,종루공원,역사공원,경기도 수원시 팔달구 정조로 824,경기도 수원시 팔달구 팔달로1가 6-1,37.28156226,127.0169524,1013.6,,,,,,,경기도 수원시 화성사업소 문화유산시설과,031-228-4473,2023-06-20
41115-00006,3호역사공원,역사공원,경기도 수원시 팔달구 신풍로 14,경기도 수원시 팔달구 신풍동 221-8,37.28253808,127.0149731,3536,,,,,,,경기도 수원시 화성사업소 문화유산시설과,031-228-4473,2023-06-20
41117-00001,매탄,근린공원,경기도 수원시 영통구 매탄로 185,경기도 수원시 영통구 매탄동 811,37.26713341,127.0454804,59956,배드민턴장1+축구장1+테니스장1+농구장1+족구장1+탁구장1+ 게이트볼장1,,노인정1+화장실1,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00002,매봉,근린공원,경기도 수원시 영통구 동탄원천로 1109번길 61,경기도 수원시 영통구 매탄동 1210,37.26961594,127.0550597,23673.4,게이트볼장1+농구장1,,화장실1,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00003,청명,근린공원,경기도 수원시 영통구 봉영로 1770번길 21,경기도 수원시 영통구 영통동 1054-4,37.26747912,127.0830811,17438.6,,,화장실1,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00004,황골,근린공원,경기도 수원시 영통구 영통로 530,경기도 수원시 영통구 영통동 948-2,37.26631944,127.0785929,15013.4,농구장1+다목적구장1,,화장실1,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00005,영통사,근린공원,경기도 수원시 영통구 봉영로 1658,경기도 수원시 영통구 영통동 1048-4,37.25783542,127.0780384,9932.7,,인공폭포1,,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00006,영통중앙,근린공원,경기도 수원시 영통구 청명로 151,경기도 수원시 영통구 영통동961-1,37.25718685,127.0720587,137062.5,,,화장실4,,도서관,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00007,반달,근린공원,경기도 수원시 영통구 반달로 77,경기도 수원시 영통구 영통동 1012-4,37.25087449,127.0788585,16015.3,,,,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00008,살구골,근린공원,경기도 수원시 영통구 매영로 366,경기도 수원시 영통구 영통동 989-3,37.25066343,127.0716869,11753.7,농구장1,,화장실1,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00009,벽적골,근린공원,경기도 수원시 영통구 덕영대로 1555번길 60,경기도 수원시 영통구 영통동 969-2,37.24867774,127.0618933,13502.4,농구장1+배드민턴장1+족구장1,물놀이시설1,화장실1,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00010,교통,근린공원,경기도 수원시 영통구 덕영대로 1570,경기도 수원시 영통구 영통동 981-4,37.24539567,127.0627739,31805,,바닥분수1,화장실1,,교통안전교육장1,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00011,머내생태,근린공원,,경기도 수원시 영통구 매탄동 1318,37.2595236,127.0490344,14332.6,,생태연못1,화장실1,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00012,매여울,근린공원,경기도 수원시 영통구 동탄원천로 915번길 36,경기도 수원시 영통구 매탄동 1338,37.25697937,127.0438285,19019.4,,바닥분수1+물놀이시설1,화장실1,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00013,선주리들,근린공원,경기도 수원시 영통구 동탄원천로 915번길33,경기도 수원시 영통구 매탄동 1345,37.25604619,127.0439958,18956,게이트볼장1+배드민턴장1,조합놀이대1,,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00014,열림,근린공원,경기도 수원시 영통구 웰빙타운로 73,경기도 수원시 영통구 이의동1183,37.30555736,127.0431528,152646.2,풋살장1+농구장1,바닥분수1,화장실1,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00015,성죽,근린공원,,경기도 수원시 영통구 이의동 1213,37.30947394,127.0480744,73873.5,,벽천1(물순환시스템),화장실1,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00016,솔내,근린공원,,경기도 수원시 영통구 이의동 1215,37.30818449,127.0510224,24489.3,,,,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00017,연암,근린공원,,경기도 수원시 영통구 이의동 1288,37.29450237,127.0364342,128896.7,,,화장실2,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00018,망포,근린공원,,경기도 수원시 영통구 망포동 358-5,37.24246445,127.0577196,15990.6,게이트볼장1,생태연못1,화장실1,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00019,광교중앙,근린공원,,경기도 수원시 영통구 이의동 1302,37.293898,127.0603242,554650.2,,조형수로1+생태연못1,화장실1,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00020,다산,근린공원,,경기도 수원시 영통구 이의동 1328,37.29037967,127.0547563,41911.8,,계류1(물순환시스템),화장실1,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00021,혜령,근린공원,경기도 수원시 영통구 에듀타운로 91,경기도 수원시 영통구 이의동 1354,37.28826802,127.0452351,203137.8,게이트볼장1+다목적구장(농구+풋살)1+배드민턴장1,케스케이드1(물순환시스템),화장실1,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00022,사색,근린공원,,경기도 수원시 영통구 원천동 588,37.28323083,127.0548829,260086.1,,계류1,화장실1,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00023,텃밭,근린공원,,경기도 수원시 영통구 원천동 596-1,37.27302817,127.0632063,33295.6,,,,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00024,번암가족,근린공원,,경기도 수원시 영통구 하동 1002,37.29674051,127.0879704,116170,,,,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00025,71호근린공원,근린공원,,경기도 수원시 영통구 이의동 1365,37.28401494,127.0394157,11863.9,,,,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00026,광교호수공원,근린공원,경기도 수원시 영통구 광교호수로 57,경기도 수원시 영통구 하동 1023,37.27499276,127.0652651,1764901.7,클라이밍장1,분수9+캠핑장1+조합놀이대2,화장실10+매점3,,주차장,,경기도 수원시 공원녹지사업소 공원관리과,031-228-4192,2023-06-20
41117-00027,방죽,근린공원,경기도 수원시 영통구 덕영대로 1484번길 10-25,경기도 수원시 영통구 망포동 737,37.24470146,127.0514803,20801.8,물놀이시설1,,화장실1,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00028,지성,근린공원,경기도 수원시 영통구 동탄지성로 520,경기도 수원시 영통구 망포동 755,37.23882922,127.0463235,15320.6,게이트볼장1+다목적구장1,,화장실1,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00029,역사공원,역사공원,,경기도 수원시 영통구 이의동 산13-88,37.29764664,127.0530962,131972,,,화장실2,박물관1,주차장,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41117-00030,신동수변공원,수변공원,경기도 수원시 영통구 덕영대로 1373번길 66,경기도 수원시 영통구 신동 942,37.24740815,127.0404663,24329,,,,,,,경기도 수원시 영통구 녹지공원과,031-228-8331,2023-06-20
41111-00012,세일,어린이공원,경기도 수원시 장안구 이목로 74번길 42,경기도 수원시 장안구 파장동 561,37.31001292,126.9907275,3172,,조합놀이대1,노인정1,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00013,장우,어린이공원,,경기도 수원시 장안구 파장동 593-4,37.30731373,126.9966882,2675.7,조합놀이대1,조합놀이대1,,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00014,소정,어린이공원,경기도 수원시 장안구 파장로 22번길 30,경기도 수원시 장안구 파장동 603-7,37.30558378,126.9990299,4840.1,다목적구장(농구)1,조합놀이대1,,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00015,송죽,어린이공원,경기도 수원시 장안구 정조로 1088번길 6-6,경기도 수원시 장안구 송죽동 457,37.30222909,127.0033486,3592.4,,조합놀이대1,,,음수대1,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00016,석산,어린이공원,경기도 수원시 장안구 금당로38번길 7,경기도 수원시 장안구 조원동 731,37.3030995,127.0156152,1556,　,조합놀이대2,화장실1,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00017,다람쥐,어린이공원,경기도 수원시 장안구 조원로111번길 33-23,경기도 수원시 장안구 조원동 758-4,37.30016231,127.0141348,1647.6,,조합놀이대1,화장실1,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00018,역마,어린이공원,경기도 수원시 장안구 경수대로 838,경기도 수원시 장안구 조원동 772-2,37.29686206,127.0163697,1503.2,,조합놀이대1,,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00019,연무,어린이공원,경기도 수원시 장안구 창훈로39번길 4,경기도 수원시 장안구 연무동 214-6,37.2961515,127.0301403,1621,,조합놀이대1,노인정1,,음수대1,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00020,창훈,어린이공원,경기도 수원시 장안구 월드컵로 418번길 31,경기도 수원시 장안구 연무동 237-15,37.29437818,127.0274999,1630.4,,조합놀이대1,노인정1,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00021,쪽박산,어린이공원,경기도 수원시 장안구 경수대로 754번길 59,경기도 수원시 장안구 연무동 252-1,37.29318313,127.0237829,1500,,조합놀이대1,노인정1,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00022,일림,어린이공원,경기도 수원시 장안구 수일로 104번길 20,경기도 수원시 장안구 파장동 629,37.30864072,127.001409,1632,,조합놀이대1,노인정1,,음수대1,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00023,정자,어린이공원,경기도 수원시 장안구 송정로60번길 10-23,경기도 수원시 장안구 정자동 35-22,37.29552819,127.0025669,3238,다목적구장(농구)1,조합놀이대1,노인정1,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00024,영화,어린이공원,경기도 수원시 장안구 수성로340번길 30,경기도 수원시 장안구 영화동 412,37.29132609,127.0099231,5110.7,농구장1+ 다목적구장(게이트볼)1,조합놀이대1,화장실1,,음수대1,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00025,영복,어린이공원,,경기도 수원시 장안구 영화동 396-13,37.28922453,127.0027517,204.7,,휴게쉼터,,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00026,대추원,어린이공원,경기도 수원시 장안구 금당로 39번길 33,경기도 수원시 장안구 조원동 854,37.30451968,127.0151755,2160,,조합놀이대1,,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00027,조원,어린이공원,,경기도 수원시 장안구 조원동 860,37.30368019,127.0172351,2500,다목적구장(농구)1,조합놀이대1,,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00028,금당,어린이공원,경기도 수원시 장안구 금당로 39번길 34,경기도 수원시 장안구 조원동 862,37.30439047,127.0178064,2150,,조합놀이대1,,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00029,별,어린이공원,경기도 수원시 장안구 하률로 46번길 22,경기도 수원시 장안구 천천동 565-1,37.30267863,126.9776435,2202,,조합놀이대1,,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00030,달,어린이공원,경기도 수원시 장안구 하률로 46번길 17,경기도 수원시 장안구 천천동 566-1,37.30269384,126.9785128,3742.8,다목적구장(농구+족구)2,조합놀이대1,,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00031,하늘,어린이공원,,경기도 수원시 장안구 천천동 551-16,37.30368551,126.9758072,3274.5,,원형무대1,,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00032,바람,어린이공원,경기도 수원시 장안구 정자로 41번길 12,경기도 수원시 장안구 천천동 482-2,37.30115977,126.9819739,1960.6,다목적구장(족구)1,조합놀이대1,,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00033,샘터,어린이공원,,경기도 수원시 장안구 천천동 505-2,37.29939524,126.9792424,1863.2,다목적구장(농구)1,조합놀이대1,,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00034,천천,어린이공원,,경기도 수원시 장안구 천천동 511-2,37.29916341,126.9818185,1839.1,,조합놀이대1,,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
41111-00035,초록,어린이공원,경기도 수원시 장안구 천천로 74번길 50,경기도 수원시 장안구 정자동 915,37.29693844,126.9870001,2204.1,,조합놀이대1+원형무대1,,,,,경기도 수원시 장안구 녹지공원과,031-228-5995,2023-06-20
