이름,주소,위도,경도
고윤희산부인과외과의원,"경기도 평택시 용죽2로 32-44, 리더스타워 3층 303~306호호 (용이동)",36.9924366,127.1255199
고은맘소아청소년과의원,"경기도 평택시 서재로 2, 302호 (동삭동, 한주빌딩)",37.0098798,127.0988015
고은미래의원,"경기도 평택시 비전5로 11, 301호 (비전동)",37.0001234,127.1126122
구광림안과의원,"경기도 평택시 경기대로 1365, (서정동)",37.0670039,127.0636646
군문메디컬의원,"경기도 평택시 원평로25번길 61-1, 3층 (군문동, 주공플라자)",36.9861893,127.0830081
굿라인의원,"경기도 평택시 평택로32번길 34, 라이트짐 5층 (평택동)",36.9913010,127.0896189
굿맨의원,"경기도 평택시 안중읍 안중로 137, (안중읍)",36.9890273,126.9317364
굿모닝내과의원,"경기도 평택시 중앙로 2, 2층 (통복동)",36.9954122,127.0835289
굿모닝재활의학과의원,"경기도 평택시 서정역로26번길 7-10, 1층 (이충동)",37.0567321,127.0563534
권우석흉부외과의원,"경기도 평택시 평택5로20번길 39, 4층 401호 (합정동, 합정동타임스퀘어)",36.9899939,127.1131898
그레이시 여성의원,"경기도 평택시 세교8길 30, 세교디오네프라자 2층 204-205호 (세교동)",37.0090505,127.0907222
기독내과의원,"경기도 평택시 탄현로 331-1, (신장동)",37.0818535,127.0560532
길내과의원,"경기도 평택시 관광특구로 19, 3층 (서정동)",37.0672656,127.0609138
김군홍의원,"경기도 평택시 안중읍 안중로 141, 엘에이치알 1동 3층 301호",36.9891289,126.9320453
김두희가정의학과의원,"경기도 평택시 송탄로 220, BK프라자 2층 (서정동)",37.0634015,127.0585250
김안과의원,"경기도 평택시 중앙로 270, 2,3,4,5층 (합정동)",36.9898922,127.1126819
김이비인후과의원,"경기도 평택시 관광특구로 19, 3층 (서정동)",37.0672656,127.0609138
김정배이비인후과의원,"경기도 평택시 중앙2로 37, 2,3층 (합정동)",36.9915752,127.0911797
김정형외과의원,"경기도 평택시 청북읍 안청로 332, 3층 (한남프라자)",37.0175045,126.9159078
김주호내과의원,"경기도 평택시 평택로 78, 3층 (평택동)",36.9939845,127.0850712
꿈소아청소년과의원,"경기도 평택시 포승읍 여술로 20, 스타타원 3층 304호",36.9877168,126.8447486
나정일내과의원,"경기도 평택시 서정역로26번길 3, 2층 (서정동)",37.0564730,127.0559312
내몸애항외과의원,"경기도 평택시 중앙2로 13, 5층 (평택동, 센텀스카이)",36.9919135,127.0886955
늘푸른가정의학과의원,"경기도 평택시 세교6로 45, 220동 2층 202,203호 (세교동, 힐스테이트 평택2차)",37.0102104,127.0866453
다시봄날의원,"경기도 평택시 중앙2로 13, 11층 1101,1102호 (평택동)",36.9919135,127.0886955
다온튼튼정형외과의원,"경기도 평택시 용죽3로 18, 2,3층 (용이동)",36.9935529,127.1256329
다은의원,"경기도 평택시 중앙2로 121, 3층일부, 2층 (합정동)",36.9899841,127.1003291
다편안마취통증의학과의원,"경기도 평택시 비전5로 11, 305호 (비전동)",37.0001234,127.1126122
닥터박의원,"경기도 평택시 중앙2로 25, (평택동)",36.9917536,127.0898733
닥터한코스메딕의원(Dr.Hans CosMedic Clinic),"경기도 평택시 팽성읍 신흥북로29번길 40-22, 5층",36.9636383,127.0467426
더네이처산부인과의원,"경기도 평택시 송탄로 260, 4,5,6,7,11층 (서정동)",37.0667897,127.0589169
더네이처소아청소년과의원,"경기도 평택시 송탄로 260, 3층 (서정동)",37.0667897,127.0589169
더라인의원,"경기도 평택시 소사5길 24, 303호일부,302호 (소사동)",36.9905311,127.1269742
더청담마취통증의학과의원,"경기도 평택시 통복시장2로39번길 17, 1층 (통복동)",36.9967321,127.0872505
동산의원,"경기도 평택시 탄현로 300, (지산동)",37.0793878,127.0549571
드림비뇨기과의원,"경기도 평택시 중앙2로 13, 9층 (평택동)",36.9919135,127.0886955
드림아이소아청소년과의원,"경기도 평택시 동삭1로22번길 19-15, 3층 301호 (동삭동)",37.0203740,127.0932929
드림한마음재활의학과의원,"경기도 평택시 고덕중앙로 200-18, 307호~312호 (고덕동)",37.0468079,127.0449309
라움산부인과의원,"경기도 평택시 평택5로34번길 6-1, 104호, 2~4층 (합정동)",36.9890624,127.1117581
로뎀나무내과의원,"경기도 평택시 중앙로 82-1, (합정동)",36.9937129,127.0922577
룩스미의원,"경기도 평택시 비전5로 16, 프라우빌딩 4층 404-나,405,406-가호 (비전동)",36.9998430,127.1132563
리드엠의원,"경기도 평택시 평택로32번길 2, 2층 (평택동)",36.9906080,127.0883499
리멤버피부과의원 평택고덕점,"경기도 평택시 고덕중앙로 200-4, 416,417,418,419,420호 (고덕동)",37.0477733,127.0442098
리앤샤인의원,"경기도 평택시 용죽3로 18, 2층 (용이동)",36.9935529,127.1256329
마디의원,"경기도 평택시 안중읍 안현로서8길 17, 5층",36.9787443,126.9233440
맘시티소아청소년과의원,"경기도 평택시 신촌2로 22, 맘스스퀘어B동 3층 310,311호 (칠원동)",37.0260471,127.1040567
메가비뇨의학과의원,"경기도 평택시 평택로32번길 25, 3층 (평택동)",36.9914273,127.0890047
메디케어의원,"경기도 평택시 안중읍 안현로서8길 57, 붐붐프라자 209,301호",36.9790700,126.9194080
명내과의원,"경기도 평택시 이충로35번길 22, 303호 (이충동, 뜨란프라자)",37.0598138,127.0667461
몸튼튼의원,"경기도 평택시 고덕국제대로 7, 창신베스트 204-1호,205-208호 (고덕동)",37.0388846,127.0482179
문이비인후과의원,"경기도 평택시 이충로35번길 22, 304호 (이충동, 뜨란프라자)",37.0598138,127.0667461
미래이비인후과소아청소년과의원,"경기도 평택시 비전5로 20-24, 312,313호 (비전동)",36.9988747,127.1141665
미리내의원,"경기도 평택시 송탄로 71, 가온프라자 2층 (이충동)",37.0516742,127.0557258
미성형외과의원,"경기도 평택시 평택로32번길 10, (평택동)",36.9907668,127.0886806
미소드림의원,"경기도 평택시 세교공원로 66, 상가1동 201호 (세교동, 부영아파트)",37.0035948,127.0852822
미소아과의원,"경기도 평택시 이충로35번길 20-9, 302,303호 (이충동, 센타프라자)",37.0603587,127.0664844
미앤미의원,"경기도 평택시 중앙2로 13, 204호 (평택동)",36.9919135,127.0886955
미앤클린의원,"경기도 평택시 비전5로 20-30, 205,206호 (비전동)",36.9989205,127.1151272
바른소리이비인후과의원,"경기도 평택시 서정역로26번길 7-10, 3층 (이충동)",37.0567321,127.0563534
박건주의원,"경기도 평택시 평택1로 3, (평택동)",36.9923916,127.0866602
박샘소아청소년과의원,"경기도 평택시 중앙로 176, 222호 (합정동, SK뷰주상복합2)",36.9915502,127.1023630
박이비인후과의원,"경기도 평택시 중앙2로 19, (평택동)",36.9918474,127.0892466
박인호피부과의원,"경기도 평택시 안중읍 안현로서8길 17, 8층",36.9787443,126.9233440
밝은성모안과의원,"경기도 평택시 중앙2로 25, (평택동)",36.9917536,127.0898733
밝은연세정신건강의학과의원,"경기도 평택시 평택2로20번길 11, 2층 (평택동)",36.9927707,127.0892373
밝은정안과의원,"경기도 평택시 평남로 941, 우성메디피아 2층 (비전동)",37.0046213,127.1041729
보람외과의원,"경기도 평택시 평택로 102, (통복동)",36.9958780,127.0834957
복음내과의원,"경기도 평택시 중앙로 268, (합정동)",36.9898767,127.1125533
본비뇨기과의원,"경기도 평택시 관광특구로 31, 3층 (서정동)",37.0671053,127.0625582
본정형외과의원,"경기도 평택시 탄현로 337, (신장동)",37.0823596,127.0563536
본튼튼성모정형외과의원,"경기도 평택시 고덕로 250, 501호~508호 (고덕동)",37.0362879,127.0282882
봄피부과의원,"경기도 평택시 경기대로 1365, 5층 (서정동)",37.0670039,127.0636646
봉봉소아청소년과의원,"경기도 평택시 청북읍 안청로 332, (청북읍)",37.0175045,126.9159078
뷰티온의원평택고덕점,"경기도 평택시 고덕중앙로 218, 507호~512호 (고덕동)",37.0478984,127.0449637
블리비의원,"경기도 평택시 중앙2로 13, 3층 303,304,304-1호 (평택동)",36.9919135,127.0886955
비전의원,"경기도 평택시 경기대로 267, (비전동)",36.9945240,127.1130585
비전조은내과의원,"경기도 평택시 평남로 941, 우성메디피아 5층 (비전동)",37.0046213,127.1041729
비전튼튼연합의원,"경기도 평택시 중앙로 96, 201호 (합정동)",36.9934259,127.0937097
사랑의의원,"경기도 평택시 세교공원로 66, (세교동, 부영아파트)",37.0035948,127.0852822
삼성드림소아청소년과의원,"경기도 평택시 용죽3로 24, 2층 201호 (용이동)",36.9941062,127.1254147
삼성드림정형외과의원,"경기도 평택시 동삭로 370-4, 모아빌딩 2층 (동삭동)",37.0183203,127.0958836
삼성바로튼튼의원,"경기도 평택시 고덕갈평6길 29, 405-408호 (고덕동)",37.0573027,127.0474399
삼성서울내과의원,"경기도 평택시 송탄로 274, (서정동)",37.0680968,127.0592191
삼성이비인후과의원,"경기도 평택시 고덕중앙로 200-4, 우성고덕타워 315~317호 (고덕동)",37.0477733,127.0442098
삼성전자(주) 평택부속의원,"경기도 평택시 삼성로 144, 삼성전자(주) 평택캠퍼스 복지동 2층 (고덕동)",37.0377526,127.0516948
삼성조은내과의원,"경기도 평택시 안중읍 안현로 429, 3층 (서경타워)",36.9881472,126.9316706
새서울의원,"경기도 평택시 팽성읍 안정쇼핑로 36, (팽성읍)",36.9608523,127.0462571
새우리의원,"경기도 평택시 팽성읍 동서촌로 74, (팽성읍)",36.9644397,127.0603905
샤렌의원,"경기도 평택시 관광특구로 36, 301호 (서정동, 송탄빌딩)",37.0665200,127.0627107
서담소아청소년과의원,"경기도 평택시 만세로 1839, 아이메듀타워 301호 (비전동)",37.0044587,127.1038916
서울강남내과의원,"경기도 평택시 비전5로 11, (비전동)",37.0001234,127.1126122
서울내과의원,"경기도 평택시 평택4로 46, (합정동)",36.9918232,127.1009503
서울더블유내과평택고덕점의원,"경기도 평택시 고덕갈평6길 29, 삼성메디컬타워 503,504,505,506,507,508호 (고덕동)",37.0573027,127.0474399
서울비뇨기과의원,"경기도 평택시 평택2로20번길 15, (평택동)",36.9926299,127.0894196
서울삼성정형외과의원,"경기도 평택시 관광특구로 31, (서정동)",37.0671053,127.0625582
서울수의원,"경기도 평택시 팽성읍 부용로 27, (팽성읍)",36.9632327,127.0587450
서울아산내과의원,"경기도 평택시 탄현로 58, 강희프라자  4층 402,403호 (서정동)",37.0576314,127.0539603
서울아산연합의원,"경기도 평택시 이충로35번길 24, 보람플러스2 4층 403호 (이충동)",37.0596424,127.0665046
서울안과의원,"경기도 평택시 평택2로20번길 14, 2층 (평택동)",36.9924728,127.0890029
서울유산부인과의원,"경기도 평택시 지제동삭2로 181-26, Adriamedi Tower 4층 (동삭동)",37.0172424,127.0941633
서울으뜸소아청소년과의원,"경기도 평택시 비전3로 25, 301호 (비전동, 골든프라자)",37.0024282,127.1047915
서울의원,"경기도 평택시 안중읍 안현로서2길 20, (안중읍)",36.9882624,126.9297100
서울이비인후과의원,"경기도 평택시 중앙2로 13, (평택동,외 2필지 센텀스카이빌딩 405호)",36.9919135,127.0886955
서울탄탄마취통증의학과의원,"경기도 평택시 탄현로 58, 강희프라자 5층 501,502,503호 (서정동)",37.0576314,127.0539603
서울탑내과의원,"경기도 평택시 용죽2로 32-44, 5층 502,503,504,505호 (용이동)",36.9924366,127.1255199
서울튼튼정형외과의원,"경기도 평택시 안중읍 안중로 143, 1(102호)~3층",36.9892517,126.9321837
서울푸른봄의원,"경기도 평택시 지제동삭2로 181-26, Adriamedi Tower 동삭동 5층 501호 (동삭동)",37.0172424,127.0941633
서울푸른의원,"경기도 평택시 청북읍 신포길 47, (청북읍)",37.0402067,126.9332527
서울하나정형외과의원,"경기도 평택시 지제동삭2로 181-26, Adriamedi Tower 3층 301-302호 (동삭동)",37.0172424,127.0941633
서재서울이비인후과의원,"경기도 평택시 서재로 2, 3층 (동삭동, 한주빌딩)",37.0098798,127.0988015
서정성세의원,"경기도 평택시 서정북로 75, (서정동)",37.0709410,127.0577249
서정튼튼정형외과의원,"경기도 평택시 서정역로26번길 3, 4층 (서정동)",37.0564730,127.0559312
성모사랑내과의원,"경기도 평택시 지제동삭2로 181-26, Adriamedi Tower 3층 303,304호 (동삭동)",37.0172424,127.0941633
성모유외과의원,"경기도 평택시 비전2로 194, 소사벌 어반테라스 2층 (비전동)",37.0007641,127.1121155
성모자혜의원,"경기도 평택시 서정역로36번길 11-3, (서정동)",37.0576289,127.0564983
성모힐소아청소년과의원,"경기도 평택시 세교8길 30, 세교디오네프라자 407호 (세교동)",37.0090505,127.0907222
세민신경과의원,"경기도 평택시 평택2로 12-1, (평택동)",36.9926581,127.0881393
센트럴이비인후과의원,"경기도 평택시 용죽3로 24, 202호일부, 301호 (용이동)",36.9941062,127.1254147
소망의원,"경기도 평택시 팽성읍 안정쇼핑로 37-1, 4층일부,5층",36.9612267,127.0462064
소사벌휴먼피부과의원,"경기도 평택시 비전5로 20-24, 더테라스 1동 3층 303~308호, 311호호 (비전동)",36.9988747,127.1141665
속편한내과의원,"경기도 평택시 평택로32번길 21, 2층 (평택동)",36.9912767,127.0887825
송승호내과의원,"경기도 평택시 서정역로 28, 2층 (서정동)",37.0566621,127.0559957
송정길내과의원,"경기도 평택시 중앙로 8, (통복동)",36.9952215,127.0840157
송탄바른마취통증의학과의원,"경기도 평택시 탄현로 334, 1,2층 (지산동)",37.0818636,127.0565304
송탄베스트의원,"경기도 평택시 탄현로 322, (지산동)",37.0809773,127.0560556
송탄성모안과의원,"경기도 평택시 탄현로 330, 2,3층 (지산동)",37.0815832,127.0563693
송탄성모정신건강의학과의원,"경기도 평택시 관광특구로 41, 용현빌딩 201호 (서정동)",37.0670089,127.0634225
송탄안과의원,"경기도 평택시 탄현로 321-1, (신장동)",37.0811708,127.0556070
송탄정신건강의학과의원,"경기도 평택시 송탄공원로 72-1, 2층 (지산동)",37.0746961,127.0575001
송탄정형외과의원,"경기도 평택시 탄현로 281, (신장동)",37.0776542,127.0551652
송탄하나안과의원,"경기도 평택시 관광특구로 19, 207호 (서정동)",37.0672656,127.0609138
수비뇨기과의원,"경기도 평택시 안중읍 안중로 124-1, 2층",36.9886036,126.9303118
수원구치소 평택지소 부속의원,"경기도 평택시 평남로 1036, (동삭동)",37.0105006,127.0967558
스노우의원평택고덕점,"경기도 평택시 고덕국제7로 117, 604호 ~ 606호 (고덕동)",37.0351969,127.0297614
스마일가정의학과의원,"경기도 평택시 신촌2로 22, B동 401,402,403호 (칠원동)",37.0260471,127.1040567
아나픈마취통증의학과의원,"경기도 평택시 통복로 49-1, 2층 (통복동)",36.9964399,127.0832154
아산소리이비인후과의원,"경기도 평택시 지제동삭2로 181-24, 201호,203호 (동삭동)",37.0168881,127.0937686
아이맘한사랑의원,"경기도 평택시 안중읍 안현로서6길 44, 2층",36.9848019,126.9247467
아이봄소아청소년과의원,"경기도 평택시 고덕갈평6길 29, 304호,305호,306호307호 (고덕동)",37.0573027,127.0474399
아주의원,"경기도 평택시 고덕갈평5길 32, 그랜드메디컬타워 405호 (고덕동)",37.0565574,127.0474102
아주척마디의원,"경기도 평택시 평남로 941, 우성메디피아 501,502호 (비전동)",37.0046213,127.1041729
안정우리들의원,"경기도 평택시 팽성읍 안정쇼핑로 41-1, 41",36.9615132,127.0465456
안준석마취통증의학과의원,"경기도 평택시 평택로 78, 2층 (평택동)",36.9939845,127.0850712
안중밝은안과의원,"경기도 평택시 안중읍 안현로 300, 안중 메디컬타워",36.9777793,126.9253762
안중산부인과의원,"경기도 평택시 안중읍 안중로131번길 14-15, (안중읍)",36.9900749,126.9295846
안중오안과의원,"경기도 평택시 안중읍 안현로 417, 세정빌딩 2층 201호",36.9873103,126.9312741
압구정뷰앤미의원,"경기도 평택시 중앙2로 13, 센텀스카이빌딩 8층 802호 (평택동)",36.9919135,127.0886955
에비뉴의원,"경기도 평택시 평택2로 30, 2층, 301호 (평택동)",36.9935416,127.0897024
엠디피부과의원,"경기도 평택시 평택1로 4, (평택동)",36.9923655,127.0870848
엠에스안과의원,"경기도 평택시 고덕중앙로 218, 우성메디컬센터 705-710호 (고덕동)",37.0478984,127.0449637
연세가정의원,"경기도 평택시 관광특구로 37, 3층 (서정동)",37.0670743,127.0630281
연세누리소아청소년과의원,"경기도 평택시 상서재로 55, 근생1동 02,03호 (동삭동, 평택센트럴자이 3단지)",37.0214999,127.1006734
연세다봄의원,"경기도 평택시 동삭1로22번길 19-17, 메인프라자 2층 206,207호 (동삭동)",37.0206347,127.0930221
연세로이외과의원,"경기도 평택시 평택5로20번길 38, 4-6층 (합정동)",36.9899572,127.1138885
연세마취통증의학과의원,"경기도 평택시 안중읍 안현로 417, 세정빌딩 3층",36.9873103,126.9312741
연세바른내과의원,"경기도 평택시 세교7길 52, 2,3층 (세교동)",37.0064669,127.0894784
연세소울정신건강의학과의원,"경기도 평택시 용죽5길 6-28, JEJ TOWER 6층 (용이동)",36.9925896,127.1260700
연세수정형외과의원,"경기도 평택시 세교8길 30, 세교디오네프라자 4층 403,404,405,406호 (세교동)",37.0090505,127.0907222
연세우리아이소아청소년과의원,"경기도 평택시 고덕국제5로 145, 310호~312호 (고덕동)",37.0344178,127.0257893
연세원내과의원,"경기도 평택시 통복로 46, 2,3층 (통복동)",36.9960392,127.0833897
연세재활의학과의원,"경기도 평택시 평택로 41, (평택동)",36.9911233,127.0870980
연세재활의학과의원,"경기도 평택시 서정역로 52-1, (서정동)",37.0585921,127.0550006
연세정이비인후과의원,"경기도 평택시 평남로 937, 폴리프라자 5층 504호 (비전동)",37.0043914,127.1044530
연세정형외과의원,"경기도 평택시 평택1로 48, (비전동)",36.9962295,127.0882351
연세제일의원,"경기도 평택시 안중읍 안중로131번길 5, (안중읍)",36.9891197,126.9309377
연세제일의원,"경기도 평택시 탄현로 320, (지산동)",37.0808352,127.0558676
연세참비뇨의학과의원,"경기도 평택시 비전5로 37, 2층 201,202,205호 (비전동)",37.0016056,127.1147039
연세패밀리의원,"경기도 평택시 평택5로 30, (합정동)",36.9884329,127.1117978
연세한빛외과의원,"경기도 평택시 서정역로36번길 24-10, (이충동)",37.0570925,127.0570390
연세허브가정의학과의원,"경기도 평택시 평택5로 191, 3층 (비전동)",36.9964689,127.1028147
열린성모외과의원,"경기도 평택시 송탄로371번길 17, (지산동)",37.0767005,127.0567270
열린성모이비인후과의원,"경기도 평택시 동삭1로22번길 19-21, 3층 302호 (동삭동)",37.0208985,127.0932609
열린의원,"경기도 평택시 관광특구로 18, 5층 (서정동)",37.0667008,127.0607184
염&박비뇨기과의원,"경기도 평택시 평택2로20번길 31, 5층 (평택동)",36.9919406,127.0899130
영제의원,"경기도 평택시 중앙로 7-1, (통복동)",36.9955586,127.0841984
예인피부과의원,"경기도 평택시 경기대로 271, 패밀리타운 2층 (비전동)",36.9950350,127.1127586
예일산부인과의원,"경기도 평택시 중앙로 146-1, (합정동)",36.9921994,127.0991649
오렌지안과의원,"경기도 평택시 서동대로 3879, 4층 403호 (용이동)",36.9942774,127.1378517
오성제일의원,"경기도 평택시 오성면 숙성시장길 34, (오성면)",37.0074117,126.9816439
오앤유내과영상의학과의원,"경기도 평택시 이충로35번길 20-9, 2층 (이충동, 이충센타프라자)",37.0603587,127.0664844
오영수의다나의원,"경기도 평택시 탄현로336번길 10, 2층 (지산동)",37.0816793,127.0568371
오제호내과의원,"경기도 평택시 탄현로327번길 4, (신장동)",37.0816650,127.0558289
우리든든내과의원,"경기도 평택시 세교8길 30, 세교디오네프라자 5층 506호, 507호 (세교동)",37.0090505,127.0907222
우리들외과의원,"경기도 평택시 서정역로 22, (서정동)",37.0560657,127.0558206
우리메디의원,"경기도 평택시 중앙2로 16, 2층 202호 (평택동)",36.9914681,127.0886221
우리신경외과의원,"경기도 평택시 중앙로 29, (통복동)",36.9953196,127.0863966
유앤아이의원,"경기도 평택시 평남로 862, 2층 201호 (비전동)",37.0004749,127.1114954
유키즈소아청소년과의원,"경기도 평택시 지제동삭1로 208, 3층 (동삭동)",37.0171554,127.0889023
윤정신건강의학과의원,"경기도 평택시 평택2로 49, (비전동)",36.9951380,127.0904477
으랏차정형외과의원,"경기도 평택시 중앙로 120-1, (합정동)",36.9928029,127.0963823
은가정의학과의원,"경기도 평택시 고덕면 궁2길 67, 그레이스프라자 2층 203호",37.0180474,127.0343905
의료법인 열린의료재단 푸른의원,"경기도 평택시 중앙2로 13, 6층 (평택동, 센텀스카이)",36.9919135,127.0886955
의료법인 정오의료재단 정음의원,"경기도 평택시 서정역로 48, (서정동)",37.0583053,127.0553465
이경록정형외과의원,"경기도 평택시 중앙로 176, 118호,210호,211호 (합정동, 평택합정주상복합상가)",36.9915502,127.1023630
이광옥소아청소년과의원,"경기도 평택시 안중읍 안현로서8길 57, 2층 212,212-1호",36.9790700,126.9194080
이동석내과의원,"경기도 평택시 세교3로 8, 201호 (세교동, 현대아파트상가)",37.0011742,127.0796605
이동훈내과의원,"경기도 평택시 서정역로 42, (서정동)",37.0579367,127.0557849
이상대산부인과의원,"경기도 평택시 평택2로 23, (평택동)",36.9935197,127.0888904
이선미산부인과의원,"경기도 평택시 중앙로 20, (평택동)",36.9950076,127.0853777
이성미베스트의원,"경기도 평택시 평택4로 52, 2층 (비전동, 동아빌딩)",36.9923880,127.1012162
이승균이비인후과의원,"경기도 평택시 안중읍 안현로 417, 세정빌딩 1층",36.9873103,126.9312741
이승훈내과의원,"경기도 평택시 중앙로 198, (합정동)",36.9909868,127.1048477
이안과의원,"경기도 평택시 중앙2로 19, (평택동)",36.9918474,127.0892466
이외과의원,"경기도 평택시 통복시장로6번길 18-3, 1층 (통복동)",36.9953778,127.0860787
이정래산부인과의원,"경기도 평택시 비전5로 20-26, 로데오1103더테라스 301호 (비전동)",36.9988462,127.1146146
이종광이비인후과의원,"경기도 평택시 탄현로327번길 2, (신장동)",37.0817301,127.0558849
임가정의원,"경기도 평택시 포승읍 여술로 21, 2층 (선구빌딩)",36.9882867,126.8450402
장영외과의원,"경기도 평택시 경기대로 1286, 1층 (이충동, 명성빌딩)",37.0598830,127.0649855
장응서내과의원,"경기도 평택시 안중읍 안중로 137, (안중읍)",36.9890273,126.9317364
장의원,"경기도 평택시 안중읍 안중로 126, (안중읍)",36.9886089,126.9304817
장이비인후과의원,"경기도 평택시 평택2로20번길 4, (평택동)",36.9928926,127.0886264
재우산부인과의원,"경기도 평택시 탄현로 317, 4층 (신장동)",37.0807577,127.0552674
정동국내과의원,"경기도 평택시 탄현로 340, (지산동)",37.0823031,127.0570897
정비뇨기과의원,"경기도 평택시 탄현로327번길 6, 2,3층 (신장동)",37.0816034,127.0556849
정이비인후과의원,"경기도 평택시 경기대로 1365, 2층 (서정동)",37.0670039,127.0636646
제이에스의원,"경기도 평택시 청북읍 안청로 332, 한남프라자 401호",37.0175045,126.9159078
제일비뇨기과의원,"경기도 평택시 서정역로 38, (서정동, 파크랜드 2층)",37.0576039,127.0560206
좋은샘가정의학과의원,"경기도 평택시 지산로 85, 2층 (독곡동, 우남빌딩)",37.0806276,127.0642576
중앙의원,"경기도 평택시 탄현로 317, (신장동)",37.0807577,127.0552674
지엔산부인과의원,"경기도 평택시 비전5로 3, (비전동)",36.9999179,127.1116110
지엔연세소아청소년과의원,"경기도 평택시 비전5로 3, 1층 근생01호 (비전동)",36.9999179,127.1116110
지제성모내과의원,"경기도 평택시 영신2길 19, 3층 (세교동)",37.0213660,127.0834802
차앤박피부과의원,"경기도 평택시 중앙2로 2, 3층 (평택동)",36.9916298,127.0872355
참편한내과의원,"경기도 평택시 통복로 43, 2층 (통복동)",36.9959954,127.0830402
청담윤미인의원,"경기도 평택시 평택2로 6, 3층 (평택동, 산천빌딩)",36.9921415,127.0875488
최규호의원,"경기도 평택시 평택로 54, (평택동)",36.9922248,127.0865392
최유상소아청소년과의원,"경기도 평택시 평택로32번길 22, (평택동)",36.9910109,127.0890999
최유섭피부과의원,"경기도 평택시 평택2로 34, 4층 2503호 (평택동, 평택삼성생명프라자)",36.9935181,127.0898500
최윤건내과의원,"경기도 평택시 중앙로 9-1, (통복동)",36.9956097,127.0845335
코모키이비인후과의원,"경기도 평택시 경기대로 269, (비전동)",36.9947285,127.1129861
코코이비인후과의원,"경기도 평택시 청북읍 청북남로 260, 211호",37.0196313,126.9153185
클리어안과의원,"경기도 평택시 지제동삭2로 181-26, Adriamedi Tower 402호,403호,502호,503호 (동삭동)",37.0172424,127.0941633
키즈하임소아청소년과의원,"경기도 평택시 평남로 941, (비전동, 우성메디피아)",37.0046213,127.1041729
타임성형외과의원,"경기도 평택시 진위면 진위2산단로 15-40, 3층 301호",37.1227490,127.0662448
톡스앤필의원,"경기도 평택시 중앙2로 16, 셀럽프라자 5층 502호 (평택동)",36.9914681,127.0886221
튼튼소아청소년과의원,"경기도 평택시 현촌4길 2-41, 2층 (용이동, 한국마트 주차빌딩)",36.9991257,127.1332048
팽성하나의원,"경기도 평택시 팽성읍 부용로 51, (팽성읍)",36.9647337,127.0608959
평송의원,"경기도 평택시 중앙2로 5, 1층 (평택동)",36.9919308,127.0876241
